DateTime,AddedIPs,RemovedIPs
1609661487,13,0
1609683086,12,0
1609704687,7,0
1609706481,15,0
1609749693,25,0
1609773094,16,0
1609794685,14,0
1609816307,1,0
1609837892,26,0
1609859491,21,0
1609881093,1,0
1609882903,7,0
1609904497,13,0
1609926100,14,0
1609927905,0,66
1609949510,15,0
1609971112,11,0
1609992710,16,0
1610014326,10,42
1610016111,2,0
1610037721,13,0
1610059345,7,0
1610080913,5,0
1610100718,0,51
1610104462,8,0
1610125934,7,0
1610147713,9,0
1610169114,9,0
1610187094,1,62
1610192544,6,0
1610214107,15,0
1610235930,10,0
1610257306,11,0
1610273511,2,47
1610280709,13,0
1610302297,9,0
1610323920,9,0
1610347311,13,0
1610359908,0,36
1610368906,12,0
1610390509,9,0
1610415708,9,0
1610435650,20,0
1610457152,16,60
1610502111,15,0
1610523704,9,0
1610545309,7,62
1610568721,15,0
1610590545,10,0
1610593912,4,0
1610615507,11,0
1610637118,6,42
1610674897,8,0
1610682101,10,0
1610705516,13,44
1610727114,11,0
1610770311,19,0
1610791902,8,59
1610820698,12,0
1610836903,10,0
1610858498,11,0
1610880101,1,52
1610882025,20,0
1610903501,15,0
1610946695,15,0
1610964703,15,75
1610970136,11,0
1610991705,16,0
1611020501,17,0
1611036712,8,0
1611051099,0,60
1611060106,16,0
1611079918,6,0
1611081708,12,0
1611103309,13,0
1611127851,14,0
1611148485,10,53
1611169918,9,0
1611191508,15,0
1611214981,9,0
1611234712,6,48
1611236507,8,0
1611258114,11,0
1611279701,9,0
1611301304,9,0
1611312106,0,52
1611324701,16,0
1611346309,9,0
1611367898,12,0
1611389504,1,0
1611398505,9,48
1611412912,15,0
1611456098,13,0
1611457922,13,0
1611479503,11,0
1611484895,0,53
1611502903,3,0
1611524499,19,0
1611546099,11,0
1611567697,11,0
1611569507,0,58
1611591093,20,0
1611612704,10,0
1611634296,18,0
1611655902,8,53
1611657706,4,0
1611679298,14,0
1611700899,15,0
1611722524,11,0
1611742312,0,62
1611746006,10,0
1611767493,13,0
1611789282,13,0
1611812507,20,0
1611828723,0,54
1611834135,13,0
1611855705,14,0
1611857498,1,0
1611879109,7,0
1611900699,21,0
1611915113,0,46
1611924100,12,0
1611945698,5,0
1611967306,14,0
1611988913,12,0
1612001504,0,32
1612015904,17,0
1612033903,20,0
1612055494,5,0
1612057300,2,0
1612078891,7,0
1612100497,24,28
1612122087,10,0
1612123897,2,0
1612145727,17,0
1612167101,22,0
1612188707,3,50
1612190509,7,0
1612212113,19,0
1612233707,10,0
1612235505,1,0
1612278714,33,49
1612300321,7,0
1612316512,5,0
1612323693,6,0
1612366902,18,63
1612370500,4,0
1612390301,9,0
1612413698,15,0
1612435307,13,38
1612456938,13,0
1612478508,7,0
1612500105,5,0
1612519901,1,33
1612523615,15,0
1612566893,21,0
1612590101,10,0
1612606303,0,45
1612613502,10,0
1612633299,11,0
1612636901,1,0
1612656728,8,0
1612678311,10,0
1612692690,2,31
1612707110,20,0
1612723301,14,0
1612746693,14,0
1612779099,24,54
1612789903,19,0
1612811510,6,0
1612813311,12,0
1612834911,9,0
1612856502,10,0
1612865514,0,52
1612879906,25,0
1612901500,8,0
1612975330,41,61
1612996900,11,0
1613018504,11,0
1613022114,1,0
1613042030,13,0
1613063508,14,49
1613087748,13,0
1613108537,20,0
1613130101,14,0
1613151956,5,54
1613153777,15,0
1613175135,10,0
1613191350,6,0
1613200313,11,0
1613221918,11,0
1613243508,6,43
1613245304,7,0
1613266924,9,0
1613288515,16,0
1613310110,13,0
1613320898,1,58
1613333511,12,0
1613355187,10,0
1613376710,13,0
1613378503,9,0
1613407352,7,54
1613421742,15,0
1613443373,1,0
1613445194,12,0
1613466772,20,0
1613493773,10,50
1613511784,18,0
1613533376,14,0
1613554966,7,0
1613576563,2,0
1613598153,5,43
1613612559,19,0
1613621549,13,0
1613643151,16,0
1613664751,4,0
1613666558,11,50
1613709753,26,0
1613731380,11,0
1613735018,6,0
1613754760,17,51
1613778487,9,0
1613799713,16,0
1613842904,16,35
1613850101,1,0
1613871708,13,0
1613887934,13,0
1613909507,7,0
1613925717,3,68
1613932900,10,0
1613954507,26,0
1613976106,13,0
1613977905,2,0
1614021115,30,59
1614042713,7,0
1614044519,14,0
1614066125,14,0
1614087711,13,0
1614109310,15,75
1614111104,3,0
1614132731,25,0
1614154319,8,0
1614175940,8,0
1614184936,1,58
1614199333,17,0
1614220911,19,0
1614242520,7,0
1614271308,11,50
1614287513,11,0
1614309111,6,0
1614330924,16,0
1614357712,16,29
1614375742,9,0
1614397320,9,0
1614418912,9,0
1614420711,6,0
1614442297,13,0
1614444099,0,52
1614463898,18,0
1614487310,17,0
1614508903,8,0
1614552104,22,43
1614562903,2,0
1614575517,25,0
1614597203,11,0
1614618704,13,55
1614620520,2,0
1614649324,16,0
1614663716,13,0
1614703349,16,63
1614708720,14,0
1614730321,8,0
1614751921,12,0
1614775324,12,0
1614796916,10,49
1614840126,26,0
1614841917,2,0
1614876489,14,34
1614885109,14,0
1614906711,10,0
1614930120,12,0
1614973346,17,46
1614996716,18,0
1615039909,23,0
1615048919,0,68
1615063314,12,0
1615084918,15,0
1615106506,12,0
1615128111,11,0
1615135302,1,54
1615151506,16,0
1615173106,12,0
1615194716,4,0
1615196522,6,0
1615239721,36,59
1615241513,1,0
1615284720,26,0
1615308111,10,52
1615340511,19,0
1615351309,11,0
1615372945,10,0
1615396342,15,61
1615439508,26,0
1615480913,7,55
1615484514,6,0
1615527706,30,0
1615549350,5,0
1615567311,2,44
1615572713,15,0
1615599722,15,0
1615617726,15,0
1615639312,10,0
1615653700,0,48
1615662711,10,0
1615705908,30,0
1615740102,12,48
1615750903,15,0
1615794100,15,0
1615795906,12,0
1615839126,27,70
1615858917,6,0
1615862507,17,0
1615884170,3,0
1615912903,25,70
1615930908,15,0
1615950712,15,0
