DateTime,AddedIPs,RemovedIPs
1622727863,1,5
1622728586,4,3
1622729546,4,3
1622730265,3,4
1622731228,3,9
1622731942,5,0
1622732675,2,4
1622733624,4,4
1622734596,6,3
1622735305,1,3
1622736036,4,1
1622736988,1,3
1622737702,5,5
1622738671,4,0
1622739383,4,6
1622740348,5,5
1622741066,2,1
1622742028,4,3
1622742991,7,2
1622743704,4,6
1622744425,4,6
1622745151,3,5
1622745863,3,5
1622746902,2,4
1622747787,3,2
1622748751,2,4
1622749464,4,4
1622750193,2,7
1622750920,4,1
1622751633,5,6
1622752342,5,1
1622753064,7,11
1622754038,3,2
1622754991,4,5
1622755705,4,0
1622756670,4,6
1622757385,3,3
1622758347,3,3
1622759064,4,2
1622760028,8,3
1622761240,5,6
1622762185,3,1
1622762903,3,8
1622763625,1,1
1622764342,3,4
1622765074,5,5
1622766024,5,9
1622766995,4,11
1622767948,11,11
1622768672,5,4
1622769387,10,4
1622770350,14,8
1622771064,4,7
1622771784,10,11
1622772749,10,13
1622773468,9,9
1622774186,5,5
1622774903,5,3
1622775877,4,14
1622776825,10,0
1622777786,6,6
1622778502,6,10
1622779479,3,8
1622780426,9,7
1622781147,4,3
1622781865,4,1
1622782834,3,1
1622783791,2,6
1622784505,3,8
1622785223,2,0
1622785950,5,1
1622786688,2,8
1622787385,4,0
1622788350,7,8
1622789064,1,0
1622789786,6,2
1622790748,2,8
1622791463,4,0
1622792428,2,7
1622793141,4,0
1622793871,4,5
1622794829,5,8
1622795544,6,0
1622796507,5,4
1622797472,3,5
1622798427,5,4
1622799142,2,3
1622799874,4,3
1622800582,4,0
1622801305,2,5
1622802269,3,6
1622803227,6,4
1622804188,5,0
1622805149,3,5
1622805863,3,2
1622806831,0,3
1622807546,0,1
1622808273,0,4
1622809226,7,9
1622810190,6,10
1622810906,2,0
1622811631,3,4
1622812589,7,3
1622813304,5,4
1622814270,2,6
1622814984,5,0
1622815950,4,7
1622816663,3,0
1622817385,3,11
1622818349,6,5
1622819075,3,0
1622820027,5,7
1622820985,8,0
1622821949,4,8
1622822672,5,5
1622823629,8,5
1622824591,6,6
1622825550,8,1
1622826522,6,5
1622827467,3,4
1622828432,3,9
1622829142,5,0
1622830124,5,12
1622830830,3,4
1622831543,1,0
1622832509,3,7
1622833223,6,0
1622833949,4,3
1622834668,3,9
1622835626,3,3
1622836588,3,4
1622837550,5,8
1622838264,11,4
1622839224,8,4
1622840188,3,4
1622840905,4,9
1622841868,5,7
1622842585,2,6
1622843301,2,4
1622844278,4,9
1622844981,5,5
1622845701,2,5
1622846423,3,0
1622847148,5,9
1622847871,1,3
1622848828,3,3
1622849787,1,7
1622850502,4,5
1622851473,8,4
1622852185,5,4
1622852905,6,9
1622853869,5,13
1622854583,7,4
1622855551,4,9
1622856265,12,11
1622857226,14,10
1622858189,10,19
1622858905,10,0
1622859621,5,13
1622860589,10,10
1622861304,3,7
1622862035,9,0
1622862985,4,9
1622863704,6,4
1622864428,6,9
1622865146,6,5
