DateTime,AddedIPs,RemovedIPs
1622644922,30,29
1622646363,67,66
1622647442,43,1
1622647804,9,67
1622648523,24,0
1622649242,22,1
1622650323,39,143
1622650684,16,0
1622651763,41,76
1622652123,15,12
1622654282,95,52
1622655004,40,78
1622656082,51,1
1622656442,10,0
1622657522,39,79
1622657882,16,0
1622658962,27,81
1622659682,20,13
1622661483,78,140
1622662563,40,85
1622662924,11,0
1622663642,22,0
1622664722,35,55
1622665082,12,0
1622665805,21,100
1622667243,54,54
1622668322,44,62
1622668683,23,0
1622669762,35,75
1622672282,114,68
1622673363,39,91
1622673723,10,15
1622674443,15,0
1622675523,51,48
1622677322,54,98
1622677683,8,0
1622679843,67,10526
1622681283,10509,95
1622683082,78,40
1622684882,61,63
1622685963,37,49
1622687404,39,65
1622688122,21,35
1622688843,44,0
1622689923,57,38
1622690642,24,0
1622691364,27,80
1622691722,12,0
1622692443,28,0
1622693162,29,67
1622694242,48,0
1622694604,21,61
1622695683,49,23
1622696763,48,57
1622697483,31,0
1622698563,72,111
1622699282,38,0
1622699642,7,0
1622700723,62,78
1622701442,26,0
1622702163,29,137
1622703242,47,12
1622703963,36,85
1622705042,46,0
1622705762,42,140
1622706483,47,0
1622706846,10,0
1622707923,54,105
1622709003,51,98
1622709723,30,63
1622710442,28,0
1622711523,44,78
1622711883,12,0
1622713022,51,104
1622714042,75,1
1622715123,72,89
1622716203,61,97
1622716563,24,21
1622717702,48,0
1622718722,44,72
1622719442,15,0
1622720583,48,105
1622721242,21,0
1622721963,24,88
1622723404,63,115
1622724722,37,7
1622725562,31,72
1622726642,38,0
1622727362,19,110
1622728083,20,0
1622729222,46,93
1622730242,31,1
1622730962,35,110
1622732766,70,67
1622733483,26,0
1622734204,21,99
1622735282,28,10934
1622736424,10946,65
1622737083,51,0
1622738163,54,122
1622738522,14,0
1622739243,28,0
1622740683,82,70
1622741763,42,90
1622742124,11,0
1622743322,43,55
1622744283,21,0
1622745422,25,119
1622745723,5,8
1622748242,80,138
1622748609,11,471
1622749683,29,0
1622750823,29,70
1622751843,29,0
1622752205,7,60
1622752922,19,24
1622754724,57,43
1622755442,17,0
1622756522,23,83
1622757243,27,0
1622758688,30,44
1622759763,27,72
1622760483,14,9
1622761562,21,42
1622762283,20,0
1622763362,28,73
1622765163,43,49
1622766302,29,0
1622766965,29,91
1622768762,56,68
1622769483,29,0
1622770622,35,88
1622772363,35,56
1622773442,31,0
1622774524,34,92
1622775243,14,0
1622775965,20,62
1622776683,17,0
1622778124,35,130
1622779322,31,64
1622781362,58,112
1622781724,11,13
1622782442,13,0
1622783162,23,51
1622784962,58,102
1622785323,15,0
1622787123,65,73
1622787843,26,0
1622788563,22,114
1622789702,36,14
1622790724,33,98
1622791804,34,89
1622792527,23,21
1622794683,83,82
1622795762,34,136
1622796843,26,11
1622797563,17,64
1622798282,23,0
1622799422,39,123
1622799723,9,0
1622800444,19,1
1622801162,18,119
1622802242,35,0
1622803683,43,140
1622805483,40,69
1622806562,32,78
1622808364,50,88
1622809083,18,0
1622809808,136,75
1622810882,281,19
1622811965,262,48
1622813043,183,1
1622814122,119,71
1622814842,20,7
1622817003,82,129
1622818082,52,8
1622818442,13,0
1622819522,37,55
1622820243,25,0
1622821324,31,78
1622821682,8,0
1622823484,51,64
1622824922,37,86
1622825642,18,0
1622826362,29,241
1622827443,37,0
1622828882,46,66
1622829962,35,56
1622830684,22,0
1622831763,53,63
1622832843,39,0
1622833562,33,62
1622834643,68,0
1622836442,47,97
1622837523,27,48
1622838605,31,82
1622839683,27,0
1622840043,11,0
1622840763,25,98
1622841483,16,0
1622843643,145,107
1622844362,30,37
1622845443,34,0
1622847243,47,85
1622848322,36,55
1622849043,14,0
1622849763,22,63
1622850843,28,10
1622852642,49,44
1622853363,13,84
1622855523,57,54
1622856605,39,56
1622857683,25,15
1622858043,9,0
1622859122,27,70
1622860923,52,81
1622861642,16,0
1622862723,19,54
1622863443,17,1
1622864163,27,97
1622864883,11,12
1622865243,7,0
1622866323,25,61
1622866684,11,0
1622867823,24,117
1622868962,38,0
1622869922,26,71
1622870643,27,0
1622871005,14,85
1622872142,30,25
1622873162,27,59
1622875322,49,87
1622876522,38,94
