DateTime,AddedIPs,RemovedIPs
1622089225,5,7
1622091127,13,7
1622093063,14,0
1622094974,17,5
1622097131,11,0
1622099301,17,22
1622101228,17,10
1622103132,9,0
1622105061,17,22
1622106984,10,6
1622108887,20,0
1622111050,21,31
1622115142,23,20
1622117063,26,5
1622118986,13,7
1622121154,16,5
1622123292,12,9
1622125452,17,12
1622127384,17,6
1622129288,16,12
1622131221,17,8
1622135056,11,17
1622136987,20,15
1622138901,14,10
1622142975,25,20
1622144907,18,16
1622146815,13,15
1622148749,10,13
1622150653,11,0
1622152583,9,14
1622154492,12,0
1622156426,18,10
1622158342,26,7
1622160255,12,10
1622162431,13,2
1622164332,17,6
1622166270,11,4
1622168170,15,10
1622170108,16,0
1622172009,13,10
1622173927,15,0
1622175865,14,12
1622177770,12,7
1622179705,7,6
1622181621,26,7
1622183770,15,10
1622185947,13,15
1622187847,20,0
1622190008,14,20
1622191925,18,17
1622193867,13,8
1622195767,11,14
1622197684,16,0
1622199630,18,8
1622201541,12,0
1622203698,19,13
1622205849,13,7
1622207786,13,10
1622209699,15,13
1622211625,10,5
1622213531,11,11
1622215467,15,13
1622217371,19,8
1622219530,16,5
1622221696,7,11
1622223623,17,6
1622225528,8,6
1622227464,10,12
1622229364,7,4
1622231531,15,7
1622233448,9,8
1622235383,18,8
1622237284,16,11
1622239220,15,5
1622241148,8,9
1622243056,9,9
1622244988,11,16
1622246902,8,8
1622248808,11,6
1622250744,15,6
1622252650,8,10
1622254590,5,12
1622256486,11,6
1622258429,12,8
1622260328,10,0
1622262265,4,9
1622264166,16,9
1622270648,17,33
1622272572,10,13
1622274504,17,0
1622276411,13,6
1622278572,29,1
1622282656,23,14
1622284827,24,9
1622286732,14,10
1622288666,23,7
1622290807,15,8
1622294651,17,16
1622296585,17,21
1622298731,12,6
1622300914,14,10
1622303051,16,5
1622305225,8,11
1622307140,10,3
1622309047,17,6
1622311227,17,14
1622313147,14,4
1622315300,14,12
1622317468,10,9
1622319613,10,11
1622321786,6,24
1622323930,4,0
1622325856,9,13
1622327890,10,11
1622330047,20,15
1622332210,10,0
1622334266,10,7
1622336433,14,12
1622338343,15,5
1622340258,8,8
1622342427,17,11
1622344571,12,7
1622346501,12,9
1622348650,8,9
1622350601,8,7
1622352731,17,11
1622354676,9,18
1622356810,14,20
1622358994,16,6
1622361131,19,9
1622363068,18,16
1622364970,16,12
1622366903,16,0
1622368822,23,13
1622370734,23,16
1622372896,12,8
1622374827,23,15
1622376749,13,13
1622378892,16,9
1622381089,18,16
1622382970,13,12
1622384887,13,19
1622386906,23,16
1622388970,5,17
1622391150,13,13
1622393054,8,20
1622394984,12,17
1622396886,9,13
1622398808,12,7
1622400746,18,3
1622402649,12,13
1622404566,16,14
1622406504,10,15
1622408491,5,12
1622410347,3,7
1622412256,8,7
1622414186,15,11
1622416097,8,14
1622418254,9,9
1622420186,5,8
1622422089,13,8
1622424253,9,14
1622426425,9,6
1622428571,9,14
1622430734,11,7
1622432666,10,10
1622434565,11,0
1622438672,16,28
1622440584,9,9
1622442733,5,14
1622444673,16,15
1622446570,14,12
1622448729,9,15
1622450649,11,11
1622452582,10,11
1622454485,10,14
1622456410,15,17
1622458349,11,11
1622460258,12,9
1622462166,11,18
1622464085,17,11
1622466263,17,17
1622468190,7,8
1622470099,15,12
1622472032,10,11
1622473933,15,14
1622475869,19,10
1622477770,10,12
1622479936,14,20
1622481852,17,15
1622483775,15,21
1622485705,11,7
1622487629,10,12
1622489550,13,20
1622491459,19,10
1622494568,14,10
1622496731,16,10
1622498674,15,20
1622500569,16,0
1622502730,12,17
1622504663,10,8
1622506572,10,0
1622508486,5,15
1622510405,10,13
1622512345,12,5
1622514245,14,8
1622516165,7,7
1622518106,14,8
