DateTime,Entries,UniqueIPs
1622089225,6161,6422
1622091127,6175,6437
1622093063,6179,6441
1622094974,6184,6447
1622097131,6175,6438
1622099301,6184,6448
1622101228,6192,6456
1622103132,6186,6449
1622105061,6196,6455
1622106984,6190,6451
1622108887,6199,6460
1622111050,6213,6474
1622115142,6206,6467
1622117063,6225,6486
1622118986,6226,6485
1622121154,6231,6490
1622123292,6234,6493
1622125452,6235,6494
1622127384,6238,6497
1622129288,6240,6500
1622131221,6247,6506
1622135056,6238,6497
1622136987,6246,6505
1622138901,6251,6510
1622142975,6258,6519
1622144907,6278,6539
1622146815,6297,6558
1622148749,6301,6562
1622150653,6295,6558
1622152583,6296,6559
1622154492,6305,6566
1622156426,6311,6571
1622158342,6336,6596
1622160255,6356,6616
1622162431,6354,6612
1622164332,6375,6633
1622166270,6372,6630
1622168170,6390,6648
1622170108,6402,6659
1622172009,6416,6674
1622173927,6421,6680
1622175865,6426,6685
1622177770,6430,6689
1622179705,6431,6690
1622181621,6449,6708
1622183770,6442,6701
1622185947,6435,6688
1622187847,6459,6714
1622190008,6443,6697
1622191925,6466,6720
1622193867,6472,6725
1622195767,6460,6713
1622197684,6465,6718
1622199630,6474,6727
1622201541,6484,6737
1622203698,6494,6749
1622205849,6499,6752
1622207786,6495,6747
1622209699,6515,6768
1622211625,6529,6784
1622213531,6543,6798
1622215467,6529,6786
1622217371,6548,6808
1622219530,6556,6816
1622221696,6551,6811
1622223623,6556,6815
1622225528,6550,6809
1622227464,6547,6805
1622229364,6541,6801
1622231531,6538,6797
1622233448,6548,6809
1622235383,6557,6819
1622237284,6571,6834
1622239220,6585,6851
1622241148,6587,6855
1622243056,6592,6859
1622244988,6594,6861
1622246902,6596,6863
1622248808,6602,6871
1622250744,6614,6885
1622252650,6620,6890
1622254590,6625,6895
1622256486,6638,6909
1622258429,6648,6919
1622260328,6648,6920
1622262265,6654,6927
1622264166,6666,6940
1622270648,6644,6921
1622272572,6639,6916
1622274504,6643,6920
1622276411,6644,6921
1622278572,6653,6929
1622282656,6640,6912
1622284827,6653,6922
1622286732,6657,6924
1622288666,6666,6934
1622290807,6673,6941
1622294651,6667,6935
1622296585,6668,6936
1622298731,6664,6932
1622300914,6666,6932
1622303051,6682,6947
1622305225,6676,6940
1622307140,6674,6939
1622309047,6691,6956
1622311227,6701,6965
1622313147,6708,6973
1622315300,6702,6967
1622317468,6709,6974
1622319613,6712,6975
1622321786,6703,6966
1622323930,6687,6952
1622325856,6690,6954
1622327890,6688,6952
1622330047,6693,6959
1622332210,6704,6970
1622334266,6704,6969
1622336433,6697,6962
1622338343,6704,6971
1622340258,6706,6972
1622342427,6725,6992
1622344571,6723,6990
1622346501,6730,6996
1622348650,6728,6995
1622350601,6728,6995
1622352731,6738,7003
1622354676,6729,6991
1622356810,6736,6993
1622358994,6742,7000
1622361131,6748,7005
1622363068,6748,7008
1622364970,6767,7027
1622366903,6766,7028
1622368822,6782,7044
1622370734,6787,7051
1622372896,6784,7048
1622374827,6794,7059
1622376749,6787,7053
1622378892,6781,7048
1622381089,6793,7059
1622382970,6793,7059
1622384887,6793,7059
1622386906,6811,7077
1622388970,6809,7073
1622391150,6805,7067
1622393054,6799,7061
1622394984,6793,7056
1622396886,6790,7053
1622398808,6783,7047
1622400746,6788,7053
1622402649,6792,7057
1622404566,6799,7061
1622406504,6796,7059
1622408491,6793,7056
1622410347,6780,7045
1622412256,6765,7031
1622414186,6772,7036
1622416097,6763,7027
1622418254,6764,7027
1622420186,6755,7021
1622422089,6754,7020
1622424253,6753,7019
1622426425,6750,7016
1622428571,6747,7013
1622430734,6747,7014
1622432666,6754,7021
1622434565,6751,7017
1622438672,6755,7024
1622440584,6754,7022
1622442733,6749,7017
1622444673,6754,7022
1622446570,6754,7023
1622448729,6745,7015
1622450649,6745,7016
1622452582,6732,7003
1622454485,6729,7000
1622456410,6736,7007
