DateTime,AddedIPs,RemovedIPs
1622089225,31,33
1622091127,48,48
1622093063,54,51
1622094974,52,58
1622097131,54,54
1622099301,60,53
1622101228,64,60
1622103132,55,65
1622105061,57,51
1622106984,61,57
1622108887,62,63
1622111050,63,60
1622115142,66,69
1622117063,53,56
1622118986,47,61
1622121154,61,45
1622123292,65,65
1622125452,58,60
1622127384,53,55
1622129288,66,57
1622131221,56,61
1622135056,54,59
1622136987,61,57
1622138901,51,55
1622142975,67,56
1622144907,58,68
1622146815,60,59
1622148749,53,59
1622150653,57,52
1622152583,51,41
1622154492,53,68
1622156426,60,55
1622158342,61,55
1622160255,48,42
1622162431,57,70
1622164332,56,57
1622166270,50,51
1622168170,42,45
1622170108,42,42
1622172009,45,39
1622173927,52,53
1622175865,44,50
1622177770,49,48
1622179705,61,51
1622181621,63,61
1622183770,60,62
1622185947,53,59
1622187847,63,55
1622190008,52,62
1622191925,53,53
1622193867,51,52
1622195767,59,53
1622197684,53,56
1622199630,60,56
1622201541,67,62
1622203698,57,60
1622205849,59,60
1622207786,57,60
1622209699,55,55
1622211625,52,57
1622213531,54,50
1622215467,67,54
1622217371,53,64
1622219530,58,55
1622221696,45,47
1622223623,59,61
1622225528,54,55
1622227464,48,50
1622229364,45,53
1622231531,61,47
1622233448,54,55
1622235383,61,58
1622237284,66,60
1622239220,56,65
1622241148,53,60
1622243056,44,43
1622244988,55,54
1622246902,45,43
1622248808,53,57
1622250744,59,54
1622252650,45,44
1622254590,39,48
1622256486,47,47
1622258429,53,40
1622260328,41,41
1622262265,37,45
1622264166,49,41
1622270648,54,57
1622272572,57,54
1622274504,53,57
1622276411,50,59
1622278572,62,51
1622282656,58,59
1622284827,55,54
1622286732,56,59
1622288666,60,54
1622290807,53,62
1622294651,56,53
1622296585,60,58
1622298731,62,59
1622300914,39,44
1622303051,55,56
1622305225,54,56
1622307140,51,55
1622309047,66,51
1622311227,54,64
1622313147,45,52
1622315300,41,33
1622317468,51,55
1622319613,48,47
1622321786,29,55
1622323930,13,30
1622325856,25,3
1622327890,59,32
1622330047,58,59
1622332210,53,54
1622334266,53,55
1622336433,57,50
1622338343,40,56
1622340258,32,31
1622342427,51,43
1622344571,46,45
1622346501,37,36
1622348650,40,50
1622350601,30,34
1622352731,56,44
1622354676,52,50
1622356810,54,61
1622358994,68,51
1622361131,59,68
1622363068,62,58
1622364970,57,60
1622366903,62,59
1622368822,68,64
1622370734,59,67
1622372896,57,51
1622374827,67,66
1622376749,57,63
1622378892,51,56
1622381089,64,54
1622382970,65,65
1622384887,62,62
1622386906,64,63
1622388970,47,67
1622391150,48,43
1622393054,43,44
1622394984,43,43
1622396886,42,44
1622398808,53,41
1622400746,68,59
1622402649,52,69
1622404566,59,51
1622406504,51,59
1622408491,37,45
1622410347,31,41
1622412256,35,23
1622414186,58,44
1622416097,28,37
1622418254,51,49
1622420186,41,44
1622422089,46,39
1622424253,47,53
1622426425,37,39
1622428571,51,49
1622430734,43,50
1622432666,48,43
1622434565,45,41
1622438672,54,53
1622440584,47,55
1622442733,49,47
1622444673,54,45
1622446570,59,55
1622448729,59,62
1622450649,56,59
1622452582,49,54
1622454485,36,46
1622456410,46,35
1622458349,52,49
1622460258,52,50
1622462166,50,53
1622464085,65,53
1622466263,58,63
1622468190,50,57
1622470099,60,46
1622472032,56,67
1622473933,59,54
1622475869,55,60
1622477770,49,55
1622479936,61,48
1622481852,59,59
1622483775,54,60
1622485705,54,56
1622487629,51,55
1622489550,47,48
1622491459,50,38
1622494568,60,61
1622496731,60,60
1622498674,44,44
1622500569,60,62
1622502730,44,56
1622504663,48,36
1622506572,57,56
1622508486,37,48
1622510405,52,42
1622512345,46,55
1622514245,58,41
1622516165,44,49
1622518106,58,55
1622520256,51,59
1622522411,56,51
1622524586,51,60
1622526502,64,56
1622528426,51,61
1622530571,57,53
1622532504,55,56
1622534427,57,54
1622536341,68,53
1622538254,60,58
1622540414,54,75
1622542326,64,54
1622544264,53,60
1622546169,63,54
1622548087,61,64
1622550024,51,59
1622551933,49,52
1622553847,51,49
1622556018,50,53
1622557928,55,50
1622559875,42,40
1622561769,45,56
1622563931,29,46
1622565865,56,29
1622567768,55,51
1622569704,61,58
1622571606,51,60
1622573767,52,50
1622575712,53,55
1622577618,57,55
1622579525,53,55
1622581472,50,54
1622583612,51,50
1622585545,54,52
1622587447,45,47
1622589607,50,50
1622591540,53,49
1622593460,54,49
1622595381,57,58
1622597526,60,55
1622599700,48,47
1622601624,48,60
1622603536,58,51
1622605449,43,48
1622607397,38,44
1622609286,32,32
1622611210,57,47
1622613141,52,56
1622615296,32,56
1622617230,67,33
1622619373,53,65
1622621548,56,51
1622623461,61,54
1622625611,50,60
1622627768,58,53
1622629932,49,57
1622631874,53,48
1622633774,54,55
1622635709,39,48
1622637617,51,45
1622639541,60,52
1622641449,39,57
1622643382,49,41
1622647451,58,50
1622649625,50,57
1622651538,50,49
1622653714,48,48
1622655615,49,50
1622657550,47,49
1622659690,61,48
1622661611,65,62
1622663547,52,66
1622665448,55,50
1622667370,61,57
1622669307,66,59
1622671210,58,65
1622673374,56,57
1622675304,32,39
1622677210,59,50
1622679370,48,60
1622681304,48,48
1622683211,35,35
1622685130,49,44
1622690890,35,52
1622692826,41,33
1622694736,35,45
1622696915,26,17
1622698828,22,34
1622700733,55,30
1622702907,58,59
1622704809,45,55
1622706748,57,46
1622708650,61,59
1622710582,57,56
1622712731,66,59
1622714658,62,60
1622716582,51,72
1622718500,71,48
1622720669,56,71
1622722812,53,55
1622724752,45,47
1622726657,50,52
1622728583,58,47
1622730736,61,62
1622732673,54,51
1622734593,52,60
1622736503,30,33
1622738669,47,48
1622740809,60,51
1622742988,49,55
1622745148,56,54
1622747295,39,40
1622749211,61,52
1622751630,48,62
1622753532,52,45
1622757383,51,54
1622759533,49,52
1622761706,22,24
1622763623,50,47
1622765538,53,50
1622767454,44,48
1622769384,51,47
1622771527,57,52
1622773466,46,53
1622775368,52,46
1622777294,45,44
1622779476,41,51
1622781614,44,47
1622783789,44,44
1622785948,62,47
1622787849,66,62
1622789783,61,66
1622791932,46,61
1622793868,35,32
1622796013,54,47
1622797933,56,53
1622799871,60,58
1622801774,59,61
1622803690,57,56
1622805609,60,57
1622807544,63,63
1622809690,50,61
1622813773,53,50
1622815947,49,51
1622817849,48,52
1622820024,52,45
1622821946,52,54
1622824090,62,53
1622826026,53,58
1622827931,60,57
1622830122,38,42
1622832012,57,57
1622833947,53,56
1622836089,56,52
1622838007,60,58
1622840186,50,60
1622842327,56,52
1622844275,31,36
1622846180,55,49
1622848332,47,54
1622850250,49,47
1622852183,52,50
1622854329,70,50
1622856263,52,59
1622858187,49,55
1622860089,38,47
1622862032,51,41
1622864168,57,59
1622866332,53,53
1622868508,34,39
1622870648,48,53
1622872838,51,49
1622877146,58,53
1622879292,57,55
1622881468,60,60
1622885531,62,57
1622889373,62,61
1622891302,54,58
1622893208,57,60
1622895385,50,55
1622897532,53,49
1622899452,62,56
1622901641,55,58
1622903534,50,58
1622905719,47,51
1622907615,58,44
1622911450,57,61
1622913625,57,55
1622916748,50,58
1622918893,59,52
1622920823,47,56
1622922730,59,48
1622924910,54,59
1622926821,53,55
1622928745,47,54
1622930899,39,36
1622933070,57,49
1622934985,43,57
1622936888,50,39
1622939067,45,50
1622940969,27,34
1622942889,39,33
1622944834,34,38
1622948908,45,41
1622950812,41,45
1622952989,41,38
1622955128,46,44
1622957065,51,48
1622958966,56,51
1622960919,62,57
1622962822,60,63
1622964741,61,59
1622966659,54,62
1622970750,56,53
1622972891,66,55
1622977219,54,65
1622979370,57,55
1622981308,51,47
1622983469,60,62
1622985608,45,54
1622987542,64,50
1622989692,57,65
1622991629,49,55
1622993770,60,50
1622997854,53,57
1623000023,56,57
1623001947,50,54
1623004090,50,48
1623006275,44,49
1623008420,56,47
1623010348,54,56
1623012248,54,54
1623014407,48,52
1623016587,51,43
1623018738,55,57
1623020661,37,32
1623022815,51,60
1623024987,44,50
1623027128,38,42
1623029063,49,38
1623033141,57,48
1623035299,30,31
1623037211,58,57
1623039147,45,49
1623041288,42,57
1623043210,58,42
1623045389,54,60
1623047533,57,55
1623049472,40,44
1623051608,50,49
1623053543,62,51
1623055689,60,61
1623057867,68,63
1623059768,52,67
1623061702,57,54
1623063860,58,57
1623066029,58,57
1623067949,44,51
1623070092,59,50
1623072010,50,56
1623074186,64,52
1623076329,49,63
1623078256,38,32
1623082576,40,53
1623084493,45,43
1623086415,36,40
1623088570,36,35
1623090506,55,43
1623092657,43,52
1623094571,48,43
1623096734,45,45
1623098665,54,52
1623100587,52,54
1623102735,58,52
1623106569,52,53
1623108492,38,55
1623110676,52,38
1623112577,65,55
1623114751,55,63
1623116889,47,36
1623118824,44,52
1623120727,51,53
1623122669,36,39
1623124568,64,54
1623126502,43,52
1623128426,52,46
1623130344,54,60
1623132258,52,47
1623138494,39,55
1623143179,51,39
1623145004,44,50
1623147137,49,48
