DateTime,AddedIPs,RemovedIPs
1616796023,0,1
1617357642,23,49
1617364829,0,1
1617379236,1,0
1618012836,45,21
1618092033,2,2
1618153236,0,1
1618160433,0,1
1618185609,1,1
1618189234,1,0
1618196437,0,1
1618203630,2,0
1618228838,0,3
1618257631,1,0
1618264837,1,0
1618275636,0,1
1618286431,0,1
1618290036,1,0
1618297236,1,1
1618308040,1,0
1618326029,0,3
1618329638,0,4
1618333230,0,2
1618344036,0,1
1618347636,0,1
1618354836,1,1
1618358439,1,2
1618362036,0,1
1618365639,1,1
1618394437,1,2
1618398033,0,1
1618416032,1,1
1618423238,1,0
1618480839,2,11
1618488042,1,0
1618495232,1,0
1618506031,0,1
1618509633,0,1
1618513233,1,0
1618531207,2,1
1618534842,0,2
1618542037,1,0
1618560036,1,0
1618592433,1,0
1618596033,1,0
1618599637,1,0
1618603237,1,0
1618617637,0,1
1618628433,2,0
1618660841,0,1
1618668033,1,0
1618671634,0,1
1618675233,2,0
1618678834,2,1
1618682430,1,0
1618686027,0,1
1618707633,1,0
1618718408,1,0
1618765240,1,0
1618776009,0,2
1618783240,0,1
1618794030,0,1
1618808431,1,0
1618815640,1,0
1618826430,0,1
1618833631,1,0
1618844441,2,1
1618855240,0,1
1618880433,0,1
1618884027,0,1
1618945237,1,0
1618948836,2,0
1618952433,1,0
1618959633,1,0
1618963239,1,0
1618966831,3,0
1618981227,1,0
1618995621,1,0
1619020833,0,1
1619031636,1,1
1619035237,1,0
1619042441,1,0
1619060420,1,0
1619071231,0,1
1619132437,0,1
1619154033,0,1
1619164837,1,1
1619175608,0,1
1619179235,0,1
1619182841,1,0
1619190029,1,0
1619197232,0,1
1619200838,0,1
1619204438,1,1
1619208033,0,1
1619215233,1,0
1619229628,1,0
1619233209,0,2
1619236838,1,1
1619244036,1,0
1619272830,0,1
1619280037,0,1
1619287227,0,1
1619298033,0,1
1619334027,0,1
1619352036,0,1
1619359231,0,1
1619362831,1,0
1619366437,1,0
1619370038,1,0
1619373633,0,1
1619380832,1,0
1619384439,0,1
1619395229,1,0
1619409626,1,0
1619420426,0,1
1619431237,0,1
1619456438,0,1
1619463609,0,1
1619470837,0,2
1619474429,1,1
1619485234,0,1
1619488837,0,2
1619503230,1,1
1619517628,0,1
1619521229,0,2
1619524837,0,1
1619535635,0,1
1619539222,0,1
1619557237,0,1
1619568037,1,1
1619578815,0,1
1619586013,0,1
1619596836,0,1
1619632807,0,1
1619647236,0,1
1619665233,2,1
1619726437,1,1
1619762409,1,0
1619776837,1,0
1619784033,1,0
1619787637,2,0
1619791237,0,1
1619798437,1,1
1619805634,1,0
1619809224,1,0
1619816439,0,1
1619830834,0,1
1619838038,0,1
1619877637,1,0
1619906437,0,1
1619910032,1,0
1619913634,1,0
1619935234,1,1
1619938832,0,1
1619953209,1,0
1619964031,0,1
1619971208,1,2
1620007238,1,0
1620014430,1,0
1620018029,2,0
1620025235,0,1
1620050433,0,1
1620072033,2,0
1620093628,1,0
1620126038,1,0
1620162017,2,1
1620172810,2,0
1620187230,1,0
1620194434,1,0
1620212438,1,1
1620216028,1,0
1620248429,1,0
1620255637,2,0
1620259214,1,0
1620262837,1,0
1620270037,1,1
1620273634,2,0
1620324036,0,1
1620331229,0,1
1620334828,1,1
1620338427,2,0
1620349232,1,0
1620385236,0,1
1620396029,0,1
1620403213,0,1
1620406835,0,1
1620410422,1,0
1620414028,0,1
1620424831,0,1
1620435635,1,0
1620478835,1,0
1620482425,0,1
1620486025,0,1
1620489626,0,1
1620511228,1,0
1620514828,1,0
1620522033,1,1
1620547231,0,1
1620558030,1,0
1620597636,0,1
1620615627,0,1
1620622830,1,0
1620633632,0,1
1620644436,1,0
1620648035,2,0
1620655232,0,1
1620676831,0,1
1620684034,0,1
1620687631,1,0
1620698429,2,1
1620705629,2,1
1620709234,2,0
1620712835,0,1
1620727232,0,1
1620741636,1,0
1620745236,7,0
1620748835,6,0
1620752410,10,0
1620756030,5,0
1620759635,7,0
1620763231,3,0
1620766810,6,1
1620770431,3,0
1620774035,3,0
1620777629,6,1
1620781234,4,0
1620784831,3,0
1620788435,8,0
1620792032,3,1
1620795609,4,0
1620799235,3,0
1620802832,2,0
1620806435,3,0
1620810034,1,0
1620813630,1,0
1620817235,5,1
1620820832,3,1
1620828035,2,2
1620831635,1,0
1620835208,1,0
1620838832,2,1
1620842431,1,0
1620864034,1,1
1620867609,1,0
1620871210,1,0
1620874832,0,1
1620878433,1,0
1620882035,2,0
1620889236,0,1
1620892836,1,0
1620896432,1,0
1620900036,1,0
1620914435,1,0
1620925232,1,1
1620932436,0,1
1620979233,0,1
1620982832,0,1
1621011636,1,0
1621022433,0,1
1621033233,1,0
1621054833,1,0
1621083632,0,1
1621126833,0,1
1621130435,0,3
1621162835,1,0
1621170036,1,0
1621177232,0,1
1621188035,1,0
1621195236,1,0
1621206036,4,1
1621216809,0,2
1621227636,0,1
1621238408,1,1
1621249237,0,1
1621252837,0,2
1621260028,1,0
1621281634,0,1
1621303231,0,1
1621310436,0,1
1621314034,0,1
1621317637,0,1
1621324831,1,0
1621328429,1,0
1621335637,0,1
1621339237,1,1
1621346437,0,1
1621350037,1,0
1621353632,0,2
1621357229,0,3
1621360827,1,3
1621364429,0,4
1621368037,0,1
1621371630,0,2
1621375221,0,1
1621378837,0,1
1621382437,0,6
1621386037,0,2
1621389609,1,2
1621393234,0,5
1621396829,0,3
1621400437,0,2
1621404026,0,5
1621407637,0,2
1621411232,0,4
1621414809,0,1
1621418438,0,1
1621422030,7,2
1621425631,2,6
1621429237,2,11
1621432828,2,5
1621436437,1,5
1621440038,1,1
1621443635,0,2
1621450830,0,2
1621461609,2,1
1621465209,1,2
1621468829,1,1
1621472432,1,1
1621476030,2,0
1621483229,1,0
1621486832,1,0
1621490432,0,1
1621494035,1,0
1621497638,0,1
1621501238,1,1
1621504836,1,0
1621512037,0,1
1621522837,0,3
1621530038,1,1
1621533634,0,2
1621537235,0,3
1621540834,0,1
1621544434,1,0
1621548030,1,0
1621555238,1,1
1621562426,0,1
1621576809,1,0
1621580408,2,0
1621584027,0,1
1621598439,1,0
1621616430,0,1
1621638037,1,0
1621656031,1,0
1621659637,0,1
1621684834,1,0
1621713637,1,0
1621717234,1,0
1621746034,1,0
1621753238,1,0
1621756834,1,0
1621764034,1,0
1621767634,1,0
1621771235,1,0
1621778434,1,0
1621810838,0,2
1621818034,0,1
1621839634,0,1
1621908034,1,0
1621922439,0,1
1621933209,0,1
1621944036,1,1
1621987232,1,0
1622026837,0,7
1622030437,0,3
1622034022,0,2
1622037609,1,3
1622041228,1,4
1622066437,0,3
1622073639,0,1
1622077229,0,1
1622080830,0,1
1622088028,0,1
1622091637,0,1
1622098836,0,1
1622102438,0,1
1622106030,0,1
1622109618,0,1
1622124037,0,1
1622145636,0,1
1622149209,0,1
1622152837,0,2
1622156432,0,2
1622160009,0,1
1622163637,0,1
1622167234,0,1
1622170828,0,2
1622178036,0,1
1622185237,0,2
1622188828,1,0
1622199632,0,1
1622203208,0,1
1622214037,0,1
1622286037,0,1
1622289637,0,1
1622293207,0,1
1622318437,0,2
1622354433,0,1
1622358032,0,1
1622361637,0,1
1622365209,1,1
1622372438,1,0
1622376027,0,1
1622386837,1,2
1622394037,0,1
1622397608,0,1
1622412037,2,0
1622426437,1,0
1622430033,1,0
1622448034,1,0
1622466036,4,0
1622469636,3,0
1622476833,1,0
1622484036,2,0
1622487637,1,0
1622494837,2,0
1622498434,2,0
1622502031,2,0
1622505632,3,0
1622509209,1,0
1622516430,1,0
1622520029,6,0
1622523633,1,0
1622527236,1,0
1622530837,1,0
1622541637,1,0
1622545237,1,0
1622548834,1,0
1622556033,3,0
1622566837,1,0
1622574036,1,0
1622599225,1,0
1622602808,1,0
1622610033,1,0
1622613636,1,0
1622617237,5,0
1622620834,0,1
1622624435,0,1
1622628033,1,0
1622638835,1,0
1622646034,1,1
1622649637,1,1
1622664038,1,0
1622667610,0,1
1622671234,2,0
1622678411,1,0
1622685635,1,0
1622689238,0,1
1622692833,1,0
1622696438,1,0
1622707232,1,0
1622718034,0,1
1622728834,1,0
1622736039,1,0
1622764833,1,0
1622772024,1,0
1622782838,1,0
1622786432,1,0
1622797237,1,0
1622808009,1,0
1622811638,1,0
1622815238,1,0
1622844036,3,0
1622847610,0,1
1622854838,1,0
1622883631,1,0
1622894409,1,0
1622901610,2,0
1622905235,2,0
1622912438,1,0
1622923234,1,0
1622937634,2,0
1622952038,1,0
1622955609,7,0
1622966439,1,0
1622977230,0,1
1622980836,2,0
1622991638,0,1
1622995238,1,0
1622998808,2,0
1623002420,2,0
1623016808,0,1
1623020430,0,1
1623034838,1,0
1623070839,0,1
1623074430,1,1
1623081635,0,1
1623088834,0,1
1623092431,0,1
1623096039,1,0
1623099638,0,1
1623106838,0,1
1623110411,0,2
1623117633,1,1
1623121238,0,1
1623124832,0,3
1623128432,0,1
1623132039,0,1
1623142839,1,0
1623146433,0,1
