DateTime,AddedIPs,RemovedIPs
1621346470,61,58
1621350097,70,80
1621353671,87,57
1621357296,106,60
1621360897,88,47
1621364497,94,40
1621368067,92,62
1621371697,74,45
1621375271,79,52
1621378897,58,54
1621382496,59,54
1621386071,93,76
1621389670,51,70
1621393270,75,61
1621396898,72,70
1621400470,72,65
1621404098,71,58
1621407696,97,58
1621411294,74,65
1621414897,77,84
1621418471,63,67
1621422068,69,49
1621425697,57,78
1621429302,48,66
1621432896,96,60
1621436470,54,53
1621440071,58,60
1621443671,57,63
1621450898,111,176
1621454473,61,69
1621458097,48,64
1621461672,66,45
1621465297,66,74
1621468870,63,74
1621472471,66,80
1621476098,63,83
1621479672,62,67
1621483269,68,88
1621486898,74,60
1621490471,67,62
1621494098,68,79
1621497672,65,59
1621501313,68,80
1621504895,67,66
1621508471,71,61
1621512071,54,65
1621515670,47,72
1621519297,66,73
1621522871,40,52
1621526468,39,57
1621530118,64,61
1621533689,69,54
1621537312,109,61
1621540917,99,63
1621544496,70,51
1621548097,63,71
1621551669,59,66
1621555267,50,52
1621558895,51,73
1621562497,158,76
1621566070,60,66
1621569696,62,65
1621573297,66,61
1621576869,72,59
1621580497,61,63
1621584095,76,64
1621587696,119,69
1621591297,116,69
1621594870,90,80
1621598496,91,59
1621602097,108,55
1621605669,101,61
1621609296,57,62
1621612869,51,62
1621616497,62,65
1621620069,65,61
1621623694,52,48
1621627295,45,66
1621630897,42,62
1621634496,69,47
1621638097,57,42
1621641667,53,56
1621645270,121,93
1621648898,56,64
1621652494,64,69
1621656088,114,72
1621659669,63,65
1621663296,58,68
1621666897,59,66
1621670504,55,54
1621674096,87,58
1621677695,69,67
1621681295,59,83
1621684889,50,102
1621688471,46,67
1621692074,54,50
1621695696,60,62
1621699269,56,76
1621702869,56,72
1621706468,70,74
1621710070,61,93
1621713667,68,62
1621717267,45,56
1621720896,48,84
1621724468,51,70
1621728095,53,80
1621731695,143,117
1621735290,53,126
1621738895,68,58
1621742469,47,123
1621746070,50,53
1621749697,49,72
1621753296,46,58
1621756895,82,65
1621760471,73,62
1621764094,49,73
1621767669,70,106
1621771270,75,62
1621774867,60,75
1621778469,59,43
1621782071,63,53
1621785669,55,118
1621789302,51,76
1621792872,58,90
1621796472,62,60
1621800096,54,94
1621803671,49,81
1621807294,66,116
1621810918,49,88
1621814469,39,90
1621818071,79,88
1621821689,154,147
1621825270,170,64
1621828917,60,90
1621832495,71,100
1621836098,74,80
1621839696,78,93
1621843269,68,99
1621846897,90,89
1621850469,528,88
1621854091,201,89
1621857673,132,66
1621861296,126,81
1621864870,133,84
1621868473,148,74
1621872096,102,67
1621875670,150,62
1621879316,122,62
1621882896,190,62
1621886497,101,69
1621890097,100,46
1621893696,91,49
