DateTime,AddedIPs,RemovedIPs
1621342869,50,47
1621346494,46,38
1621350069,55,56
1621353695,71,46
1621357267,74,41
1621360895,48,37
1621364496,51,33
1621368096,51,43
1621371670,46,28
1621375294,58,41
1621378868,42,44
1621382495,44,41
1621386095,64,47
1621389669,45,47
1621393296,57,47
1621396894,56,53
1621400495,60,51
1621404097,58,44
1621407672,68,43
1621411297,63,53
1621414870,61,67
1621418496,50,52
1621422070,54,43
1621425669,49,64
1621429267,37,57
1621432868,69,47
1621436493,39,39
1621440096,33,54
1621443671,42,43
1621450897,94,113
1621454495,51,55
1621458071,33,43
1621461670,52,40
1621465294,48,52
1621468896,33,62
1621472468,40,45
1621476069,47,61
1621479669,49,60
1621483298,50,77
1621486870,64,52
1621490470,54,56
1621494071,53,68
1621497696,54,52
1621501269,58,60
1621504897,51,53
1621508494,44,44
1621512096,46,57
1621515696,43,63
1621519267,60,54
1621522894,33,44
1621526499,30,41
1621530094,47,57
1621533702,48,37
1621537323,59,49
1621540920,54,45
1621544471,38,38
1621548095,43,36
1621551697,42,47
1621555291,35,32
1621558871,34,42
1621562473,50,62
1621566073,44,52
1621569697,47,58
1621573273,45,51
1621576898,52,46
1621580473,50,45
1621584098,55,52
1621587671,68,62
1621591274,67,60
1621594898,47,62
1621598513,48,41
1621602067,55,36
1621605671,50,48
1621609273,47,37
1621612872,40,52
1621616499,46,50
1621620091,50,51
1621623677,30,36
1621627302,32,55
1621630873,36,47
1621634471,48,32
1621638098,45,35
1621641698,40,45
1621645268,34,37
1621648895,45,45
1621652471,40,55
1621656067,43,59
1621659672,49,49
1621663272,47,50
1621666897,48,54
1621670491,45,43
1621674072,68,50
1621677707,46,56
1621681301,44,70
1621684892,36,83
1621688471,33,56
1621692069,43,44
1621695697,48,46
1621699307,47,63
1621702871,42,59
1621706471,55,50
1621710073,48,61
1621713697,55,49
1621717297,31,50
1621720899,35,63
1621724491,31,58
1621728092,29,62
1621731692,50,77
1621735319,37,111
1621738882,34,47
1621742512,30,113
1621746073,27,45
1621749674,35,63
1621753298,26,46
1621756910,43,53
1621760498,45,52
1621764092,39,64
1621767716,45,86
1621771273,58,53
1621774872,43,66
1621778491,51,42
1621782097,49,41
1621785692,47,96
1621789318,39,64
1621792892,45,80
1621796510,50,50
1621800098,42,76
1621803698,38,66
1621807308,41,68
1621810918,37,72
1621814511,29,78
1621818112,36,76
1621821692,124,88
1621825273,151,57
1621828919,39,82
1621832488,53,78
1621836099,61,72
1621839698,64,83
1621843297,49,84
1621846872,65,77
1621850492,514,77
1621854120,183,79
1621857712,115,64
1621861302,111,70
1621864894,126,70
1621868496,135,60
1621872092,91,51
1621875704,133,45
1621879293,106,49
1621882912,145,47
1621886495,96,48
1621890112,84,40
1621893709,77,37
1621897308,102,110
1621900892,97,72
1621904499,83,61
1621908095,76,59
1621911700,95,63
1621915294,83,52
1621918904,87,67
1621922494,77,60
1621926092,89,56
1621929694,101,54
1621933315,94,64
1621936893,91,56
1621940520,80,36
1621944104,72,50
1621947700,67,48
1621951299,52,50
1621954902,65,71
1621958513,56,79
1621962106,61,61
1621965712,61,44
1621969270,64,39
1621972910,55,56
1621976513,61,63
1621980073,44,54
1621983679,71,44
1621987299,57,55
1621990870,53,60
1621994514,51,49
1621998074,59,60
1622001699,63,60
1622005268,56,67
1622008899,63,65
1622012498,53,69
1622016100,72,62
1622019699,75,67
1622023299,67,65
1622026898,82,58
1622030497,70,42
1622034098,83,46
1622037674,76,74
1622041292,46,46
1622044887,50,36
1622048498,56,37
1622052073,43,45
1622055671,62,48
1622059322,58,41
1622062870,45,35
1622066498,46,46
1622070094,44,40
1622073705,32,43
1622077298,62,51
1622080895,46,63
1622084498,57,51
1622088094,54,59
1622091698,45,59
1622095297,61,76
1622098921,58,62
1622102498,68,54
1622106072,51,51
1622109696,81,67
1622116872,107,89
1622120497,70,45
1622124097,57,48
1622127697,60,36
1622131312,43,47
1622134872,34,47
1622138494,38,54
1622142076,56,49
1622145697,59,51
1622149272,52,53
1622152871,47,32
1622156471,37,38
1622160098,47,45
1622163698,64,35
1622167294,51,57
1622170898,61,50
1622174489,64,48
1622178102,67,66
1622181698,49,52
1622185295,61,60
1622188916,58,48
1622192505,83,67
1622196097,55,78
1622199671,60,57
1622203298,57,59
1622206897,80,51
1622210498,80,64
1622214098,60,41
1622217698,48,49
1622221272,50,39
1622224873,49,43
1622228497,57,38
1622232072,45,36
1622235671,43,38
1622239270,33,40
1622242907,44,38
1622246515,43,45
1622250104,45,35
1622253697,47,39
1622257298,51,58
1622260886,41,33
1622264534,56,50
1622268098,39,38
1622271672,55,44
1622275298,60,55
1622278898,56,56
1622282498,41,51
1622286086,106,59
1622289672,57,44
1622293297,45,39
1622296893,44,41
1622300497,61,46
1622304089,48,44
1622307718,41,38
1622311314,51,58
1622314870,52,39
1622318497,30,47
1622322071,45,32
1622325673,40,37
1622329297,38,29
1622332898,36,24
1622336498,43,50
1622340071,57,34
1622343704,47,39
1622347297,48,37
1622350906,36,32
1622354493,31,32
1622358120,41,39
1622361698,49,44
1622365272,41,42
1622368872,59,40
1622372473,45,58
1622376071,61,56
1622379698,54,50
1622383297,48,51
1622386897,51,57
1622390472,41,44
1622394093,54,45
1622397691,47,44
1622401303,52,53
1622404892,50,45
1622408474,52,38
1622412098,41,45
1622415691,62,37
1622419273,41,32
1622422898,53,53
1622426499,53,89
1622430067,47,195
1622433687,59,45
1622437273,59,43
1622440894,66,64
1622444518,54,102
1622448095,49,81
1622451714,59,60
1622455282,58,147
1622458898,50,169
1622462505,57,82
1622466102,46,86
1622469704,47,74
1622473283,47,89
1622476875,64,73
1622480503,72,65
