DateTime,AddedIPs,RemovedIPs
1622933437,15,0
1622934043,16,0
1622934340,4,0
1622934944,14,0
1622935242,27,0
1622935543,6,0
1622936134,12,0
1622936439,8,0
1622936742,5,0
1622937336,8,0
1622937651,5,0
1622937946,4,0
1622938546,19,0
1622938839,9,0
1622939442,7,0
1622939737,7,0
1622940040,7,0
1622940345,7,0
1622940935,15,0
1622941247,14,1
1622941839,17,0
1622942440,9,0
1622942736,10,0
1622943336,14,0
1622943639,5,0
1622943946,6,0
1622944535,9,0
1622944847,8,0
1622945144,8,0
1622945740,13,0
1622946042,9,0
1622946339,9,0
1622946935,20,0
1622947237,7,0
1622947839,16,0
1622948135,5,0
1622948444,5,0
1622948739,5,0
1622949342,10,0
1622949639,10,0
1622949941,8,0
1622950244,4,0
1622950537,8,0
1622950842,6,0
1622951439,20,0
1622952046,13,0
1622952339,6,0
1622952939,16,0
1622953240,3,0
1622953540,5,0
1622954135,9,0
1622954436,6,0
1622955039,21,0
1622955336,11,0
1622955647,10,0
1622956237,17,0
1622956541,8,0
1622956839,9,0
1622957736,30,0
1622958041,16,0
1622958342,9,0
1622958645,4,0
1622958934,9,0
1622959243,6,0
1622959544,7,0
1622960140,12,0
1622960440,7,0
1622960744,9,0
1622961336,21,0
1622961944,12,0
1622962241,155,0
1622962537,2,0
1622963142,18,0
1622964039,14,0
1622964338,2,0
1622964645,7,0
1622964940,9,0
1622965241,12,0
1622965839,21,0
1622966138,16,0
1622966446,7,0
1622967036,25,0
1622967344,3,0
1622967640,8,0
1622968245,17,0
1622968840,15,0
1622969144,7,0
1622969736,14,0
1622970053,10,0
1622970636,13,0
1622970946,12,0
1622971241,9,0
1622971842,17,0
1622972441,4,0
1622972741,17,0
1622973039,9,0
1622973340,12,0
1622973650,13,0
1622974545,36,0
1622974841,5,0
1622975140,2,0
1622975740,13,0
1622976039,7,0
1622976342,4,0
1622976643,11,0
1622976938,12,0
1622977250,8,0
1622977837,16,0
1622978142,8,0
1622978440,6,0
1622978741,14,0
1622979336,16,0
1622979638,9,0
1622980240,18,0
1622980848,27,0
1622981140,7,0
1622981744,18,0
1622982040,7,0
1622982342,3,0
1622982936,19,0
1622983236,21,0
1622983842,208,0
1622984138,110,0
1622984445,99,0
1622985039,37,0
1622985344,8,0
1622985640,16,0
1622986244,24,0
1622986838,18,0
1622987145,12,0
1622987445,12,0
1622987737,11,0
1622988050,14,0
1622988638,19,0
1622989241,18,0
1622989537,10,0
1622990135,28,0
1622990438,9,0
1622990751,11,0
1622991337,17,0
1622991938,29,0
1622992542,15,0
1622992840,6,0
1622993141,2,0
1622993737,13,0
1622994039,10,0
1622994638,15,0
1622994936,17,0
1622995245,6,0
1622995839,20,0
1622996150,10,0
1622996440,22,0
1622997045,19,0
1622997337,10,0
1622997639,18,0
1622998242,36,0
1622998851,24,0
1622999436,18,0
1623000038,32,0
1623000335,5,0
1623000935,22,0
1623001240,15,0
1623001839,26,0
1623002138,9,0
1623002451,8,0
1623003042,21,0
1623003638,82,0
1623003937,98,0
1623004250,6,0
1623004539,17,0
1623005144,16,0
1623005736,240,1
1623006043,9,0
1623006639,20,0
1623007237,16,0
1623007536,16,0
1623007845,8,0
1623008140,10,0
1623008441,8,0
1623009041,18,0
1623009335,8,0
1623009644,6,0
1623010237,19,0
1623010548,7,0
1623010840,8,0
1623011444,19,0
1623011738,10,0
1623012035,5,0
1623012346,4,0
1623012935,14,0
1623013247,9,0
1623013542,10,0
1623013841,8,0
1623014152,11,0
1623014441,12,0
1623015047,8,0
1623015641,8,0
1623015943,11,0
1623016535,9,0
1623017142,14,0
1623017744,13,0
1623018039,8,0
1623018645,14,0
1623019240,11,0
1623019543,6,0
1623020136,10,0
1623020739,13,0
1623021344,9,0
1623021641,4,0
1623022244,19,0
1623022538,12,0
1623023143,9,0
1623023735,11,0
1623024340,85,0
1623024941,14,0
1623025240,7,0
1623025540,7,0
1623026139,14,0
1623026439,5,0
1623027042,18,0
1623027648,10,0
1623027940,5,0
1623028543,7,0
1623028838,9,0
1623029441,13,0
1623029735,10,0
1623030036,12,0
1623030637,9,0
1623031241,14,0
1623031836,21,0
1623032439,14,0
1623032735,1,0
1623033045,7,0
1623033338,11,0
1623033640,9,0
1623034241,19,0
1623034847,15,0
1623035140,35,0
1623035742,54,0
1623036040,8,0
1623036643,18,0
1623036938,6,0
1623037240,6,0
1623037839,21,0
1623038136,7,0
1623038447,8,0
1623039036,17,0
1623039347,8,0
1623039639,7,0
1623040248,11,0
1623040837,12,0
1623041139,6,0
1623041735,21,0
1623042048,11,0
1623042636,18,0
1623042940,6,0
1623043241,9,0
1623043842,20,0
1623044437,21,0
1623044741,28,0
1623045335,46,0
1623045649,13,0
