DateTime,AddedIPs,RemovedIPs
1615461376,368,686
1615492821,1695,1600
1615506005,25,0
1615517526,27,3
1615521368,23,0
1615521542,107,96
1615528884,14,5
1615553529,416,827
1615579217,1830,1340
1615592408,27,0
1615601766,29,0
1615607943,127,84
1615609449,33,13
1615613529,10,0
1615644970,369,646
1615662020,1322,1052
1615677127,24,0
1615688647,28,0
1615694342,103,72
1615696324,25,0
1615700166,12,13
1615735935,357,703
1615748419,1148,1400
1615765450,27,0
1615776967,21,0
1615780818,24,14
1615788486,105,78
1615827856,395,731
1615831218,1567,1519
1615849926,21,0
1615861446,26,0
1615867142,83,84
1615869126,25,20
1615872968,12,0
1615914020,1679,1644
1615918589,376,665
1615938487,14,2
1615950017,23,10
1615953848,26,0
1615961764,123,59
1616000420,1747,1864
1616009307,378,807
1616023209,28,13
1616034730,21,0
1616039943,92,66
1616042408,19,56
1616046248,14,0
1616086819,1779,1812
1616100485,371,635
1616111768,34,66
1616119447,23,40
1616127126,116,92
1616134804,15,14
1616173221,1702,1362
1616192171,363,791
1616196486,17,0
1616208005,32,47
1616211849,21,32
1616212742,98,114
1616219525,11,7
1616256021,1546,1187
1616283130,414,713
1616285047,24,46
1616292724,19,0
1616299142,76,110
1616300405,26,57
1616308329,17,11
1616342420,1340,1512
1616369768,35,22
1616375058,335,696
1616381286,33,44
1616385127,28,0
1616385543,72,98
1616392817,15,4
1616425218,1614,1591
1616454491,26,0
1616466006,28,0
1616466253,365,677
1616471942,98,109
1616473690,27,56
1616477525,7,0
1616508019,1786,1376
1616542809,15,32
1616554916,33,42
1616557687,357,780
1616558647,25,35
1616566325,96,94
1616590820,2012,1580
1616616783,384,686
1616628246,15,0
1616639767,20,22
1616644742,89,63
1616647450,27,26
1616651285,17,13
1616658252,411,0
1616662343,412,0
1616665224,364,0
1616667626,336,0
1616669065,397,0
1616671222,379,0
1616673387,352,0
1616675544,415,0
1616677705,413,680
1616679384,2418,1343
1616681542,401,0
1616683706,364,0
1616716817,19,35
1616724486,22,0
1616731143,81,59
1616732164,22,30
1616739847,22,13
1616756419,1808,1287
1616775609,393,809
1617360118,13008,10747
1618026727,14739,12776
1618055288,502,9744
1618077621,1553,1165
1618099688,27,52
1618107366,26,0
1618122724,51,66
1618186566,1492,2008
1618194248,19,52
1618205767,41,44
1618271052,2034,1966
1618282567,15,29
1618294087,91,184
1618329367,422,358
1618374725,2069,1629
1618420810,2181,2347
1618459142,168,197
1618512010,1964,2064
1618528089,20,0
1618539606,19,0
1618547290,114,175
1618551125,14,0
1618592420,1645,1459
1618603224,395,375
1618616887,14,44
1618628485,20,46
1618632247,19,0
1618640166,118,136
1618678818,1551,1333
1618695128,357,359
1618704487,20,31
1618712406,24,20
1618718343,68,72
1618720092,23,50
1618723927,12,0
1618761618,1743,1749
1618787549,338,347
1618789688,16,24
1618801217,25,32
1618805048,26,28
1618812725,83,106
1618848020,1464,2046
1618874650,23,0
1618879210,391,411
1618886649,17,28
1618891142,84,106
1618894328,25,29
1618898165,11,0
1618930817,1764,1507
1618963688,20,64
1618971148,392,333
1618971608,25,0
1618977542,85,159
1618979532,29,31
1618983368,14,17
1619017219,1740,1633
1619049370,25,28
1619057048,27,34
1619062327,354,355
1619063942,96,127
1619064966,28,0
1619072647,17,25
1619103618,1536,2340
1619134327,22,0
1619146088,18,30
1619150343,86,93
1619153767,18,56
1619154043,354,344
1619157614,17,0
1619190021,1616,1754
1619219766,22,17
1619231286,21,33
1619236743,90,66
1619238968,16,0
1619242804,16,17
1619245210,355,365
1619276421,1237,1409
1619308817,19,16
1619316488,27,58
1619324408,26,69
1619332326,11,50
1619335469,249,2566
1619336651,146,1946
1619359218,957,2097
1619393770,94,115
1619405529,28,0
1619409367,19,0
1619409543,37,57
1619417046,11,0
1619427145,250,248
1619428114,153,150
1619442018,1247,2092
1619480887,20,0
1619492416,19,0
1619496247,18,0
1619503925,106,60
1619519068,250,0
1619519527,162,0
1619524819,1555,1809
1619566328,20,0
1619577847,23,0
1619582342,97,63
1619585527,15,0
1619589366,22,0
1619610725,250,0
1619611236,138,0
1619655130,1596,2054
1619663050,26,0
1619668742,121,67
1619670726,18,0
1619678406,12,0
1619697623,1387,2207
1619702411,250,0
1619703386,158,0
1619740086,13,0
1619751621,24,0
1619755449,28,0
1619763131,110,60
1619784019,1506,2082
1619794089,250,0
1619794859,153,0
1619825046,26,0
1619836570,27,0
1619841542,104,117
1619844249,21,0
1619848329,8,0
1619866820,1261,1485
1619886024,136,0
1619898005,250,0
1619913850,22,0
1619921525,23,0
1619927942,88,65
1619929211,18,0
1619936885,5,0
1619953217,1235,1643
1619977949,134,0
1619990407,250,0
1619998327,24,27
1620009846,26,25
1620014342,100,57
1620017527,20,28
1620021366,5,27
1620039620,1230,1867
1620069391,149,0
1620081630,250,0
1620083767,25,0
1620095286,30,0
1620100743,94,55
1620102972,30,0
1620106810,10,0
1620122420,1406,1580
1620160085,151,0
1620172334,250,0
1620172818,24,0
1620180485,21,0
1620187142,101,69
1620188409,28,0
1620196326,6,0
1620205220,1477,1626
1620252255,137,0
1620258247,17,0
1620264008,250,0
1620269768,19,0
1620273621,27,0
1620281287,119,75
1620291618,1656,2242
1620342726,14,0
1620343213,136,0
1620354246,23,0
1620354989,250,0
1620359943,83,77
1620361927,23,0
1620369604,20,0
1620378017,1929,1717
1620431288,24,0
1620435149,138,0
1620443049,24,0
1620446186,250,0
1620446884,27,0
1620454564,119,67
1620464416,1647,1544
1620516725,15,0
1620527048,140,0
1620528245,20,0
1620532743,66,52
1620536170,28,0
1620537608,250,0
1620540014,17,0
1620550818,1317,1668
1620601933,15,20
1620613685,24,28
1620618733,129,0
1620619143,80,81
1620621367,19,42
1620625208,15,11
1620629309,250,0
1620637221,1513,1829
1620690731,18,14
1620702081,23,37
1620705846,17,0
1620710165,241,178
1620713525,10,17
1620721458,248,249
1620723618,2052,1766
1620776408,16,23
1620787924,22,15
1620791943,138,43
1620795618,23,61
1620799687,20,24
1620802089,129,108
1620806421,2243,1565
1620812903,250,248
1620861847,16,24
1620873368,26,0
1620878343,92,48
1620881047,20,21
1620884886,13,0
1620893292,153,111
1620904810,2537,2089
1620950648,23,24
1620958566,21,18
1620964742,111,65
1620966249,16,0
1620974165,15,35
1620975619,2138,1617
1620984013,142,150
1620996739,250,250
1621036326,22,21
1621047685,22,46
1621051688,28,48
1621059365,144,106
1621062019,2197,1427
1621075927,148,129
1621089370,250,250
1621121288,11,15
1621132808,16,16
1621137543,114,38
1621140486,19,18
1621144325,10,10
1621144818,2036,1421
1621168352,137,95
1621181553,250,250
1621209682,23,15
1621217529,24,0
1621223943,109,48
1621225206,23,16
1621231218,1829,1933
1621232886,10,11
1621259529,160,143
1621272727,250,250
1621294806,19,0
1621306325,32,37
1621310342,95,70
1621314023,18,20
1621317681,27,6
1621350967,2449,1931
1621363712,250,250
1621382166,23,33
1621391047,27,0
1621396742,90,85
1621398726,24,18
1621406647,2191,2090
1621455155,362,326
1621467846,25,22
1621476734,14,28
1621483219,2612,2260
1621484896,15,0
1621492568,23,13
1621547054,384,383
1621554011,16,0
1621566247,23,39
1621570091,21,30
1621577773,2384,1687
1621640414,346,385
1621640891,24,15
1621652653,31,22
1621656486,2412,1580
1621664409,92,92
1621727532,21,39
1621734036,343,342
1621739047,12,17
1621743162,2094,1438
1621750807,12,30
1621812009,33,15
1621818020,2454,1705
1621823770,26,21
1621826173,362,371
1621828743,82,89
1621831685,27,36
1621835527,14,8
1621897931,13,0
1621900822,2575,1528
1621909684,24,26
1621915142,131,73
1621917371,33,26
1621917852,368,334
1621925047,33,13
1621985527,20,13
1621987221,2374,1984
1621997047,15,0
1622001542,106,47
1622004730,27,23
1622008565,19,0
1622010013,405,383
1622070488,22,16
1622082248,2373,1626
1622087943,82,61
1622090166,15,19
1622097847,25,29
1622102414,360,395
1622156421,2342,1551
1622160033,24,37
1622167689,18,19
1622174342,125,69
1622175609,28,0
1622183287,22,15
1622196046,365,398
1622242819,2048,1394
1622245688,20,0
1622257225,21,47
1622261048,24,16
1622268726,137,62
1622288176,364,367
1622325619,1911,1146
1622331473,26,23
1622342890,15,0
1622347142,151,58
1622351054,26,45
1622355133,12,25
1622381099,365,401
1622417531,15,33
1622429050,24,57
1622433542,150,56
1622436967,24,22
1622441053,14,7
1622455220,2607,2809
1622473936,414,385
1622503214,26,0
1622514727,30,22
1622522409,23,16
1622530085,10,9
1622541618,2075,2080
1622565876,372,379
1622592018,37,38
1622599689,34,0
1622607366,29,0
1622615291,280,135
1622628021,2176,1876
1622658734,370,380
1622679851,33,23
1622687769,28,57
1622693533,177,77
1622699528,21,6
1622710819,2107,2082
1622750932,411,394
1622761695,22,0
1622773209,35,21
1622779143,129,72
1622782342,36,56
1622788811,19,7
1622797219,2223,1662
1622844989,358,523
1622848808,28,23
1622860570,32,0
1622865849,30,26
1622872333,130,61
1622883618,1964,1478
1622935687,17,32
1622938572,352,377
1622947451,39,46
1622951942,109,70
1622955849,27,26
1622959287,20,21
1622970018,1818,1408
1623022814,40,0
1623033151,348,378
1623034820,26,0
1623039130,139,87
1623046810,14,32
1623056420,1825,2021
1623109686,35,36
1623121218,31,46
1623124742,100,66
1623126485,24,0
1623128431,350,379
1623132731,11,11
1623139220,1883,1760
