DateTime,AddedIPs,RemovedIPs
1622782923,3,0
1622784781,4,0
1622785323,3,0
1622785924,36,33
1622786524,1,0
1622787724,6,0
1622789763,15,15
1622790123,4,1
1622790724,1,0
1622791323,1,0
1622791925,17,29
1622791981,1,0
1622793723,1,0
1622794324,1,0
1622795582,2,0
1622796431,1,0
1622796723,2,0
1622797923,17,21
1622798524,1,1
1622799842,23,15
1622801524,0,2
1622802724,1,0
1622802781,0,3
1622803683,23,15
1622803923,2,0
1622805123,1,0
1622805724,3,0
1622806324,1,0
1622807524,25,22
1622808123,1,0
1622808724,1,0
1622810524,1,0
1622811124,3,0
1622811606,13,15
1622811723,22,0
1622813765,28,20
1622815324,3,0
1622815924,20,18
1622816523,2,0
1622817181,1,0
1622817723,2,0
1622818324,1,0
1622818923,1,0
1622819524,2,0
1622820124,1,0
1622821324,3,0
1622821924,2,0
1622822523,1,0
1622823123,2,0
1622824083,17,13
1622824924,3,0
1622825523,1,0
1622826016,9,40
1622826286,3,0
1622826724,4,0
1622827324,1,0
1622827925,42,23
1622828524,1,1
1622829123,1,0
1622829741,2,0
1622830923,2,0
1622832002,24,43
1622834523,1,0
1622835124,1,0
1622835724,4,0
1622837523,1,0
1622838003,17,17
1622838124,2,0
1622838725,3,0
1622839323,3,0
1622840163,12,20
1622840524,1,0
1622841124,14,2
1622841724,1,0
1622842924,2,0
1622843579,2,0
1622844243,19,12
1622844723,2,0
1622845323,4,0
1622846163,18,24
1622847124,11,0
1622847723,3,0
1622848324,6,0
1622848924,3,1
1622849581,3,0
1622850242,37,27
1622850724,6,0
1622852524,6,0
1622853181,10,0
1622853724,4,0
1622854322,21,23
1622854324,0,1
1622854923,4,0
1622855523,5,0
1622856243,44,26
1622856724,3,0
1622857499,1,0
1622859723,8,0
1622860381,4,0
1622860989,5,0
1622861524,1,0
1622862007,38,41
1622862124,1,0
1622862724,3,0
1622863323,1,1
1622864162,44,41
1622865124,3,0
1622865724,3,0
1622866324,51,49
1622866924,4,1
1622867966,2,0
1622868124,4,0
1622868723,5,0
1622869324,17,0
1622869924,4,0
1622871181,1,0
1622871723,3,0
1622872323,2,0
1622872815,34,33
1622872924,1,0
1622873524,1,0
1622874962,20,18
1622875324,1,0
1622875924,1,0
1622876524,1,0
1622877125,4,0
1622877724,15,0
1622878324,3,1
1622879284,22,18
1622879524,4,0
1622880123,1,0
1622880962,2,0
1622881323,3,0
1622881925,0,1
1622882524,3,1
1622883363,24,17
1622884457,5,0
1622884924,4,0
1622885523,19,20
1622886124,3,0
1622887324,4,0
1622889363,17,16
1622889724,4,0
