DateTime,AddedIPs,RemovedIPs
1622748724,2,0
1622749324,2,0
1622749924,8,0
1622751124,2,0
1622752381,2,0
1622752924,2,0
1622754124,1,0
1622754724,41,0
1622755982,2,0
1622756524,5,0
1622757724,2,0
1622758323,3,0
1622758924,2,0
1622759581,1,0
1622760724,2,0
1622761324,1,0
1622761924,3,0
1622762524,2,0
1622763181,1,0
1622763723,2,0
1622764924,2,0
1622766123,1,1
1622766781,3,0
1622767324,2,0
1622767924,1,0
1622769724,4,0
1622770324,1,0
1622772124,7,0
1622772723,0,1
1622773324,1,0
1622774524,6,0
1622775124,12,0
1622775724,6,0
1622776323,2,0
1622776924,1,0
1622777581,4,0
1622778123,3,0
1622778724,7,0
1622779924,2,0
1622780523,2,0
1622781723,1,0
1622782323,1,0
1622782923,3,0
1622784781,4,0
1622785323,3,0
1622785924,3,1
1622786524,1,0
1622787724,6,0
1622790123,4,1
1622790724,1,0
1622791323,1,0
1622791981,1,0
1622793723,1,0
1622794324,1,0
1622795582,2,0
1622796124,1,0
1622796723,2,0
1622798524,1,1
1622799724,1,0
1622801524,0,2
1622802724,1,0
1622802781,0,3
1622803324,1,0
1622803923,2,0
1622805123,1,0
1622805724,3,0
1622806324,1,0
1622807524,1,0
1622808123,1,0
1622808724,1,0
1622810524,1,0
1622811124,3,0
1622811723,22,0
1622813581,2,0
1622815324,3,0
1622815924,1,0
1622816523,2,0
1622817181,1,0
1622817723,2,0
1622818324,1,0
1622818923,1,0
1622819524,2,0
1622820124,1,0
1622821324,3,0
1622821924,2,0
1622822523,1,0
1622823123,2,0
1622823723,1,0
1622824924,3,0
1622825523,1,0
1622826124,3,0
1622826724,4,0
1622827324,1,0
1622827925,5,0
1622828524,1,1
1622829123,1,0
1622829723,1,0
1622830923,2,0
1622831582,4,0
1622834523,1,0
1622835124,1,0
1622835724,4,0
1622837523,1,0
1622838124,2,0
1622838725,3,0
1622839323,3,0
1622840524,1,0
1622841124,14,2
1622841724,1,0
1622842924,2,0
1622843524,2,0
1622844124,2,0
1622844723,2,0
1622845323,4,0
1622847124,11,0
1622847723,3,0
1622848324,6,0
1622848924,3,1
1622849581,3,0
1622850724,6,0
1622852524,6,0
1622853181,10,0
1622853724,4,0
1622854324,0,1
1622854923,4,0
1622855523,5,0
1622856124,1,0
1622856724,3,0
1622857324,1,0
1622859723,8,0
1622860381,4,0
1622860924,5,0
1622861524,1,0
1622862124,1,0
1622862724,3,0
1622863323,1,1
1622865124,3,0
1622865724,3,0
1622866324,2,0
1622866924,4,1
1622867581,2,0
1622868124,4,0
1622868723,5,0
1622869324,17,0
1622869924,4,0
1622871181,1,0
1622871723,3,0
1622872323,2,0
1622872924,1,0
1622873524,1,0
1622874781,2,0
1622875324,1,0
1622875924,1,0
1622876524,1,0
1622877125,4,0
1622877724,15,0
1622878324,3,1
1622878925,3,0
1622879524,4,0
1622880123,1,0
1622880724,2,0
1622881323,3,0
1622881925,0,1
1622882524,3,1
1622883124,2,0
1622884323,5,0
1622884924,4,0
1622886124,3,0
1622887324,4,0
1622889181,7,1
1622889724,4,0
1622890324,2,0
1622890924,2,0
1622891524,6,0
1622892124,4,0
1622893324,8,0
1622893923,10,0
1622894523,9,0
1622895124,10,0
1622895724,4,0
1622896381,3,0
1622896924,7,0
1622897524,6,0
1622898124,2,0
1622898724,6,0
1622899324,4,0
1622900523,6,0
1622901124,5,0
1622904724,7,0
1622905323,2,0
1622906524,5,0
1622907181,17,0
1622907724,1,0
1622908324,5,0
1622909524,1,0
1622910124,2,0
1622911324,3,0
1622911924,2,0
1622913124,4,0
1622913724,1,0
1622914924,5,0
1622916724,2,1
1622917324,6,0
1622917924,1,0
1622918524,5,0
1622920324,1,0
1622921581,0,1
1622922123,2,0
1622923324,2,1
1622923924,4,0
1622924523,1,1
1622925181,1,0
1622925723,2,0
1622926924,3,0
1622928123,6,0
1622928724,1,0
1622929324,1,0
1622929923,12,0
1622930524,2,0
1622931124,1,0
1622931723,1,0
1622932381,10,0
1622932924,8,0
1622933524,7,0
1622934124,4,0
1622934724,2,0
1622935324,9,0
1622935982,7,0
1622936524,5,0
1622937124,0,1
1622938323,4,0
1622940723,1,0
1622941324,1,0
1622941924,3,0
1622942524,5,0
1622943181,2,0
1622944324,3,0
1622944923,3,0
1622945524,2,0
1622946124,2,0
1622946781,4,0
1622947924,1,0
1622948524,1,0
1622949124,0,2
1622949724,1,0
1622950324,5,0
1622950923,8,0
1622951524,3,0
1622952124,2,0
1622953324,3,0
1622953981,2,0
1622955724,2,0
1622956323,2,0
1622956924,1,0
1622957581,0,1
1622959323,4,0
1622959923,2,0
1622960523,1,0
1622961724,1,0
1622962323,2,0
1622962924,2,0
1622963524,4,0
1622964124,4,0
1622964781,4,0
1622965324,9,0
1622965923,6,0
1622967124,2,0
1622967724,2,0
1622968324,2,0
1622968924,0,1
1622969523,7,0
1622970124,5,0
1622971323,2,1
1622971924,3,1
1622973123,2,0
1622973723,4,0
1622974324,4,0
1622975581,2,0
1622976124,1,0
1622976724,2,0
1622977924,6,0
1622978523,9,0
1622979181,4,0
1622979724,2,0
1622980324,2,1
1622980924,2,0
1622981524,12,0
1622982781,2,0
1622983323,4,0
1622983924,3,0
1622984524,3,0
1622985124,1,0
1622985724,3,0
1622986324,5,0
1622988124,2,0
1622988723,1,0
1622989324,7,0
1622990524,2,0
1622991724,1,0
1622992323,1,0
1622992924,1,2
1622993581,3,3
1622994123,2,0
1622995323,1,0
1622995924,4,0
1622996523,3,0
1622997124,1,0
1622997724,1,0
1622998323,1,0
1622998924,1,0
1622999524,1,0
1623000124,4,0
1623000781,2,0
1623001324,5,0
1623001924,1,0
1623002524,4,0
1623003124,3,0
1623004381,2,0
1623004924,3,0
1623005524,1,0
1623006123,1,0
1623006724,2,0
1623008524,5,1
1623009724,1,0
1623010324,1,0
1623010924,2,0
1623012124,6,0
1623013924,4,0
1623014523,5,1
1623015124,4,0
1623015724,3,0
1623016324,6,0
1623016924,2,0
1623017524,1,0
1623018724,3,0
1623019324,1,0
1623019923,2,0
1623020524,1,0
1623021123,11,0
1623021724,6,0
1623022924,3,0
1623023524,2,0
1623024124,1,0
1623025981,1,0
1623026524,3,0
1623027124,2,0
1623028324,4,0
1623028924,2,0
1623030124,4,0
1623030723,2,0
