DateTime,AddedIPs,RemovedIPs
1604835640,1,0
1604867200,1,1
1604879287,3,0
1604922990,1,0
1604953642,1,0
1604966669,3,0
1605010350,2,0
1605040054,0,1
1605054005,2,0
1605097710,1,0
1605126457,0,2
1605141366,5,0
1605185045,6,0
1605212846,2,2
1605228725,2,0
1605272406,6,0
1605299209,2,2
1605316089,6,0
1605359774,2,0
1605385638,3,1
1605403474,1,0
1605447127,1,0
1605471990,0,2
1605490807,7,0
1605534488,2,0
1605558537,2,1
1605578356,3,0
1605622113,3,0
1605644861,1,1
1605665765,4,0
1605709504,4,0
1605731469,1,0
1605753136,4,0
1605817641,0,1
1605884216,3,0
1605904566,3,2
1605927851,6,0
1605971529,4,0
1605990964,1,3
1606015232,4,0
1606058924,3,0
1606077358,2,0
1606102571,6,0
1606146246,3,0
1606163255,1,0
1606189925,3,0
1606233618,4,0
1606277287,1,0
1606364686,2,0
1606408348,3,0
1606422459,0,1
1606452008,1,0
1606495929,6,0
1606539614,1,0
1606583288,3,0
1606595264,1,1
1606626966,3,0
1606670775,6,0
1606682170,0,1
1606714591,2,0
1606758245,5,0
1606767986,3,1
1606801954,2,0
1606845670,8,0
1606854444,1,7
1606889533,6,0
1606933207,7,0
1606940882,5,1
1606976890,5,0
1607020566,3,0
1607027244,1,2
1607064257,4,0
1607107960,3,0
1607113632,3,0
1607151614,5,0
1607195291,3,0
1607200064,0,3
1607282650,5,0
1607286685,2,2
1607370032,3,0
1607372847,2,1
1607413711,4,0
1607457387,2,0
1607459186,1,0
1607501052,3,0
1607544725,6,0
1607545639,0,1
1607588408,8,0
1607632355,10,0
1607633785,1,2
1607676027,6,0
1607718977,2,1
1607719684,19,0
1607763367,6,0
1607807053,8,0
1607850747,7,0
1607894407,13,0
1607938087,5,0
1607977700,0,2
1607981788,6,0
1608025496,8,0
1608064041,2,0
1608069128,6,0
1608112816,7,0
1608150471,0,4
1608156489,3,0
1608200165,7,0
1608236863,3,0
1608243873,1,0
1608287528,3,0
1608323222,1,2
1608331208,1,0
1608409624,2,2
1608418564,4,0
1608462274,1,0
1608496048,2,1
1608505924,3,0
1608549608,3,0
1608582408,1,2
1608593285,1,0
1608636966,1,0
1608668862,1,2
1608680646,5,0
1608724352,1,0
