DateTime,AddedIPs,RemovedIPs
1622144908,74,72
1622146816,68,74
1622148749,61,67
1622150654,77,66
1622152583,115,69
1622154493,77,83
1622156428,1412,0
1622158343,65,55
1622160257,47,68
1622162432,117,71
1622164332,62,39
1622166271,79,66
1622168171,76,57
1622170108,54,48
1622172010,69,67
1622173928,58,48
1622175865,82,47
1622177771,75,63
1622179706,61,51
1622181623,94,55
1622183771,60,70
1622185948,80,63
1622187848,75,65
1622190011,63,78
1622191925,37,61
1622193868,53,63
1622195768,76,65
1622197685,63,3862
1622199631,1841,0
1622201542,85,71
1622203699,77,108
1622205850,108,102
1622207787,84,107
1622209700,72,61
1622211626,116,78
1622213532,98,76
1622215468,82,94
1622217371,87,107
1622219532,85,81
1622221697,116,79
1622223624,115,81
1622225529,82,49
1622227465,77,63
1622229365,78,83
1622231532,81,68
1622233449,75,70
1622235384,88,98
1622237285,60,73
1622239221,83,76
1622241148,103,59
1622243057,1539,0
1622244989,69,70
1622246903,49,68
1622248809,57,54
1622250745,49,82
1622252651,83,56
1622254591,60,60
1622256487,61,62
1622258429,49,94
1622260328,50,71
1622262266,51,65
1622264167,68,74
1622266330,62,59
1622268503,60,63
1622270649,75,68
1622272573,71,75
1622274505,59,58
1622276412,68,69
1622278573,62,88
1622280749,66,74
1622282657,55,3779
1622284827,103,104
1622286733,1669,0
1622288667,74,70
1622290808,129,1293
1622292730,1340,81
1622294652,62,77
1622296585,72,89
1622298731,103,57
1622300915,78,75
1622303052,78,68
1622305226,124,98
1622307141,83,67
1622309048,81,62
1622311228,112,115
1622313148,80,50
1622315301,83,78
1622317469,102,91
1622319613,98,71
1622321786,99,52
1622323931,83,74
1622325857,65,66
1622327889,86,84
1622330048,1462,0
1622332211,94,68
1622334267,63,49
1622336434,149,103
1622338344,80,65
1622340259,69,60
1622342428,83,61
1622344572,68,58
1622346502,56,55
1622348651,75,82
1622350602,81,70
1622352732,75,74
1622354677,76,71
1622356811,89,69
1622358995,56,70
1622361132,55,72
1622363068,58,56
1622364971,72,50
1622366904,61,60
1622368823,62,3416
1622370735,82,73
1622372897,1532,0
1622374827,109,72
1622376750,98,53
1622378893,91,76
1622381090,88,62
1622382970,127,98
1622384888,81,57
1622386907,75,67
1622388971,86,58
1622391151,90,53
1622393055,142,67
1622394985,99,72
1622396887,132,62
1622398809,120,56
1622400747,97,73
1622402650,67,63
1622404567,76,74
1622406505,59,55
1622408492,79,71
1622410348,75,67
1622412257,68,57
1622414186,140,77
1622416098,1303,0
1622418255,70,60
1622420187,96,51
1622422090,85,54
1622424254,65,48
1622426426,92,92
1622428571,69,54
1622430735,60,54
1622432667,74,40
1622434566,67,49
1622436730,78,61
1622438673,72,57
1622440585,85,62
1622442734,76,48
1622444674,61,64
1622446571,67,75
1622448730,80,62
1622450650,70,49
1622452582,72,63
1622454486,55,50
1622456411,62,3671
1622458350,65,89
1622460259,1760,0
1622462167,77,95
1622464086,89,79
1622466264,90,128
1622468191,119,90
1622470100,76,72
1622472033,91,84
1622473933,69,71
1622475870,95,54
1622477771,89,77
1622479936,127,80
1622481853,77,57
1622483776,98,87
1622485706,85,73
1622487629,98,68
1622489552,85,53
1622491461,107,56
1622493396,87,76
1622495303,88,54
1622497226,90,75
1622499134,72,61
1622501050,76,82
1622503233,1478,0
1622505129,53,71
1622507070,61,51
1622508972,87,105
1622510911,41,69
1622512823,63,59
1622514731,48,55
1622516672,56,61
1622518572,85,52
1622520849,69,65
1622523008,89,73
1622525190,73,69
1622527232,77,81
1622529124,58,64
1622531298,64,58
1622533222,67,53
1622535134,67,60
1622537065,59,52
1622538973,83,61
1622541131,75,76
1622543052,83,3845
1622544983,131,76
1622546887,1716,0
1622548821,112,74
1622550748,97,98
1622553848,131,120
1622556019,99,103
1622557929,60,74
1622559876,69,58
1622561770,90,79
1622563932,89,67
1622565866,79,92
1622567769,92,81
1622569705,63,76
1622571607,82,78
1622573768,135,86
1622575712,61,60
1622577619,85,78
1622579526,80,64
1622581473,67,66
1622583613,115,79
1622585546,71,56
1622587447,64,52
1622589607,1475,0
1622591540,58,63
1622593461,51,76
1622595382,50,90
1622597527,59,53
1622599701,61,72
1622601625,65,72
1622603536,68,43
1622605450,53,60
1622607397,65,66
1622609287,56,74
1622611211,88,66
1622613142,58,71
1622615297,76,80
1622617231,57,71
1622619373,84,63
1622621549,64,75
1622623462,78,63
1622625612,79,80
1622627769,74,63
1622629933,99,3603
1622631875,1625,0
1622633775,98,77
1622635709,66,68
1622637617,79,97
1622639542,72,53
1622641450,64,65
1622643383,94,42
1622645288,69,55
1622647451,104,75
1622649627,86,107
1622651539,83,59
1622653714,92,68
1622655615,126,66
1622657551,69,57
1622659691,77,63
1622661612,60,95
1622663548,52,60
1622665449,84,66
1622667371,95,85
1622669308,54,72
1622671212,75,82
1622673374,69,106
1622675305,1443,0
1622677211,64,66
1622679371,57,61
1622681304,57,65
1622683212,60,52
1622685131,69,52
1622687050,63,35
1622688969,58,55
1622690891,54,65
1622692827,56,78
1622694737,42,53
1622696916,55,63
1622698829,86,61
1622700734,66,50
1622702908,76,56
1622704810,64,79
1622706749,47,57
1622708651,58,62
1622710583,78,82
1622712732,70,84
1622714659,54,3480
1622716583,65,100
1622718501,1560,0
1622720670,105,65
1622722813,89,72
1622724753,69,45
1622726658,68,58
1622728584,94,54
1622730737,94,70
1622732674,67,65
1622734594,99,68
1622736504,61,58
1622738670,153,59
1622740810,108,108
1622742989,139,79
1622745150,67,69
1622747296,93,60
1622749212,81,75
1622751631,107,77
1622753533,69,75
1622755450,89,61
1622757384,92,84
1622759534,88,91
1622761708,1336,0
1622763623,73,49
1622765539,39,51
1622767455,86,32
1622769385,59,55
1622771528,64,43
1622773467,41,46
1622775369,61,61
1622777295,42,57
1622779477,59,55
1622781615,88,58
1622783790,51,79
1622785948,55,72
1622787850,49,57
1622789784,63,56
1622791933,60,71
1622793869,50,40
1622796014,56,91
1622797934,52,51
1622799872,64,66
1622801774,68,3356
1622803691,56,62
1622805610,1550,0
1622807544,84,73
1622809691,99,52
1622811629,71,68
1622813774,85,87
1622815948,73,70
1622817850,68,46
1622820025,91,68
1622821947,65,49
1622824091,87,56
1622826027,77,60
1622827932,74,79
1622830122,76,82
1622832013,97,84
1622833948,74,66
1622836089,80,72
1622838008,56,66
1622840186,76,123
1622842328,81,67
1622844276,63,63
1622846181,69,55
1622848333,1331,0
1622850251,53,62
1622852184,53,49
1622854330,56,44
1622856264,49,51
1622858188,66,63
1622860089,64,54
1622862033,47,46
1622864169,54,55
1622866332,61,49
1622868509,70,57
1622870648,57,60
1622872839,69,93
1622874969,88,74
1622877147,55,62
1622879293,67,69
1622881469,61,61
1622883386,56,104
1622885532,60,62
1622887473,45,3342
1622889374,75,72
1622891303,1495,0
1622893209,100,85
1622895386,78,60
1622897533,81,102
1622899453,56,52
1622901642,76,70
1622903535,62,64
1622905720,87,62
1622907616,61,52
1622909530,51,53
1622911451,62,65
1622913626,98,62
1622915531,63,57
1622917466,66,55
1622919384,76,64
1622921287,70,55
1622923460,76,63
1622925369,69,59
1622927304,70,40
1622929212,61,74
1622931386,70,69
1622933529,66,68
1622935448,1251,0
1622937387,63,67
1622939534,81,71
1622941476,47,64
1622943391,70,56
1622945297,36,37
1622947469,58,66
1622949368,63,45
1622951535,60,51
1622953450,65,48
1622955385,61,68
1622957789,93,45
1622959694,71,61
1622961622,53,67
1622964027,64,62
1622965928,49,54
1622967864,49,47
1622969783,83,51
1622971933,65,58
1622973871,68,3082
1622975772,81,73
1622977942,1440,0
1622979866,55,70
1622981784,54,62
1622983932,100,65
1622985864,342,50
1622988021,204,78
1622990185,107,80
1622992099,91,46
1622994268,137,55
1622996406,102,57
1622998344,131,77
1623000492,157,65
1623002421,153,76
1623004341,117,84
1623006276,86,49
1623008421,140,80
1623010349,99,64
1623012249,94,40
1623014409,109,69
1623016588,91,65
1623018738,117,59
1623020662,1249,0
1623022816,93,63
1623024988,99,45
1623027129,125,50
