DateTime,Entries,UniqueIPs
1621720802,10147,10147
1621723502,9948,9948
1621726202,9592,9592
1621729803,9078,9078
1621732503,8978,8978
1621735203,9034,9034
1621737904,9250,9250
1621740603,9718,9718
1621744204,9635,9635
1621746903,9375,9375
1621749603,9140,9140
1621752303,8915,8915
1621755003,8526,8526
1621757703,7869,7869
1621760403,7291,7291
1621763103,6861,6861
1621765803,6433,6433
1621768503,6042,6042
1621771202,5541,5541
1621773902,5029,5029
1621776601,4642,4642
1621779302,4163,4163
1621782001,3652,3652
1621784701,3001,3001
1621787402,2616,2616
1621790101,2297,2297
1621792802,2028,2028
1621797301,1655,1655
1621800002,1496,1496
1621802701,1531,1531
1621805402,1692,1692
1621808101,1792,1792
1621810801,2800,2800
1621813501,7820,7820
1621816201,9278,9278
1621818901,10456,10456
1621821601,11291,11291
1621824301,12333,12333
1621827003,13452,13452
1621829701,14476,14476
1621832403,15765,15765
1621835102,16776,16776
1621837802,18069,18069
1621841402,20064,20064
1621844101,21144,21144
1621846803,22637,22637
1621849503,23994,23994
1621852203,25149,25149
1621855803,24782,24782
1621859402,23600,23600
1621863002,24456,24456
1621865703,24974,24974
1621868402,24568,24568
1621871103,25946,25946
1621873802,26553,26553
1621876503,26884,26884
1621879203,26489,26489
1621881903,26447,26447
1621884603,25921,25921
1621887302,25858,25858
1621890002,25095,25095
1621892702,24367,24367
1621895403,23893,23893
1621898102,23381,23381
1621900803,22546,22546
1621903502,21230,21230
1621906203,20454,20454
1621909802,20279,20279
1621913402,20152,20152
1621917002,19141,19141
1621920601,18843,18843
1621923302,19110,19110
1621926002,19119,19119
1621928702,19303,19303
1621931402,20005,20005
1621934102,20896,20896
1621936803,21532,21532
1621939503,22086,22086
1621942203,22763,22763
1621945803,23499,23499
1621948503,24162,24162
1621951203,24720,24720
1621953902,25051,25051
1621956603,25745,25745
1621959303,26228,26228
1621962002,26365,26365
1621964702,26649,26649
1621967403,26595,26595
1621970103,26314,26314
1621972803,26359,26359
1621975503,25877,25877
1621978203,24864,24864
1621980902,23357,23357
1621983602,22005,22005
1621986302,20642,20642
1621989002,19224,19224
1621991702,17710,17710
1621994402,15952,15952
1621997102,14251,14251
1621999802,12378,12378
1622002501,11062,11062
1622005201,9572,9572
1622007901,7901,7901
1622010601,6423,6423
1622013301,5180,5180
1622016001,4032,4032
1622018701,2769,2769
1622021401,1759,1759
1622024101,1754,1754
1622026801,1783,1783
1622029501,1769,1769
1622032201,1782,1782
1622034901,1801,1801
1622037601,1828,1828
1622040301,1839,1839
1622043001,1842,1842
1622045701,1836,1836
1622048401,1824,1824
1622051101,1816,1816
1622053801,1798,1798
1622056501,1744,1744
1622059201,1736,1736
1622061902,1724,1724
1622064601,1705,1705
1622067301,1673,1673
1622070001,1627,1627
1622072701,1562,1562
1622075401,1551,1551
1622078101,1525,1525
1622080801,1514,1514
1622083502,1476,1476
1622086201,1437,1437
1622088901,1415,1415
1622091601,1405,1405
1622094302,1422,1422
1622097001,1417,1417
1622099701,1444,1444
1622102402,1468,1468
1622105101,1472,1472
1622107802,1482,1482
1622110501,1505,1505
1622113201,1551,1551
1622115901,1550,1550
1622118601,1553,1553
1622121301,1554,1554
1622124001,1598,1598
1622126701,1657,1657
1622129401,1692,1692
1622133001,1764,1764
1622136601,1798,1798
1622139301,1852,1852
1622142001,1872,1872
1622144701,1891,1891
1622147401,1913,1913
1622150101,1925,1925
1622152801,1928,1928
1622155501,1949,1949
1622158202,1938,1938
1622161801,1930,1930
1622164501,1922,1922
1622167201,1885,1885
1622169901,1866,1866
1622172601,1842,1842
1622175301,1833,1833
1622178001,1797,1797
1622180701,1792,1792
1622183401,1765,1765
1622187001,1779,1779
1622189701,1807,1807
1622192401,1832,1832
1622195101,1882,1882
1622197801,1944,1944
1622200501,1954,1954
1622203201,1981,1981
1622205902,2006,2006
1622208601,2069,2069
1622213101,2143,2143
1622215801,2192,2192
1622218501,2219,2219
1622221201,2261,2261
1622223901,2303,2303
1622226602,2320,2320
1622230201,2303,2303
1622233801,2309,2309
1622237402,2303,2303
1622241001,2217,2217
1622244601,2196,2196
1622247301,2190,2190
1622250001,2155,2155
1622252701,2104,2104
1622255402,2088,2088
1622258101,2056,2056
1622260802,2012,2012
1622263501,1965,1965
1622266201,1919,1919
1622268901,1886,1886
1622271601,1875,1875
1622274301,1890,1890
1622277001,1870,1870
1622279701,1869,1869
1622282401,1901,1901
1622285101,1953,1953
1622287801,1997,1997
1622291401,2022,2022
1622294101,2074,2074
1622296801,2121,2121
1622299501,2129,2129
1622302201,2140,2140
1622305801,2168,2168
1622309401,2214,2214
1622312101,2240,2240
1622314801,2241,2241
1622317501,2225,2225
1622320201,2229,2229
1622322901,2235,2235
1622325601,2242,2242
1622329201,2223,2223
1622332802,2179,2179
1622336401,2129,2129
1622339101,2079,2079
1622341801,2045,2045
1622344502,2006,2006
1622347201,1975,1975
1622349902,1942,1942
1622352601,1904,1904
1622355301,1878,1878
1622358001,1881,1881
1622360701,1874,1874
1622363401,1875,1875
