DateTime,AddedIPs,RemovedIPs
1622787724,11,1
1622788923,2,0
1622789524,2,0
1622790123,5,1
1622790724,3,0
1622791925,4,9
1622792524,3,2
1622793723,3,10
1622794923,0,5
1622795524,2,0
1622796124,2,4
1622796723,5,0
1622797923,2,3
1622799124,2,1
1622799724,2,0
1622800323,1,0
1622800924,3,3
1622801524,1,7
1622802123,2,0
1622802724,3,0
1622803324,2,1
1622803923,4,0
1622804523,3,2
1622805123,3,11
1622805724,5,0
1622806324,2,0
1622806924,0,3
1622807524,3,0
1622808123,2,0
1622808724,2,2
1622809324,1,2
1622810524,2,4
1622811124,8,1
1622811723,48,3
1622812323,5,3
1622813525,6,1
1622814123,0,1
1622815324,4,26
1622815924,2,0
1622816523,4,4
1622817124,3,0
1622817723,4,0
1622818923,4,0
1622819524,2,0
1622820124,1,2
1622820724,3,2
1622821324,2,0
1622822523,5,1
1622823123,8,0
1622823723,1,21
1622824323,4,5
1622824924,6,0
1622825523,8,0
1622826124,3,0
1622826724,7,5
1622827324,3,0
1622827925,7,0
1622828524,1,0
1622829123,2,3
1622829723,2,0
1622830324,2,0
1622831525,8,26
1622832124,2,0
1622832724,0,2
1622833323,0,5
1622833924,1,1
1622834523,1,1
1622835124,3,0
1622835724,7,4
1622837523,8,6
1622838124,6,3
1622838725,4,0
1622839323,5,5
1622840524,2,4
1622841124,21,3
1622841724,5,9
1622842924,8,0
1622843524,3,2
1622844124,5,2
1622844723,8,0
1622845323,6,3
1622846524,6,5
1622847124,2,0
1622847723,4,0
1622848324,13,5
1622848924,6,2
1622849524,3,1
1622850724,9,0
1622851324,4,5
1622852524,9,0
1622853124,16,4
1622853724,5,4
1622854923,5,0
1622855523,6,4
1622856124,1,0
1622856724,5,17
1622857324,3,1
1622858524,5,0
1622859723,10,5
1622860325,8,0
1622860924,5,1
1622861524,7,0
1622862124,5,21
1622862724,4,3
1622863323,5,0
1622864524,7,3
1622865724,5,21
1622866324,4,0
1622866924,9,6
1622867524,4,0
1622868124,3,4
1622868723,9,0
1622869324,27,0
1622869924,10,0
1622870524,3,2
1622871124,2,0
1622871723,4,17
1622872323,3,0
1622872924,3,4
1622873524,3,1
1622874124,1,0
1622874724,2,6
1622875324,3,6
1622875924,3,0
1622876524,4,5
1622877125,7,3
1622878324,5,2
1622878925,3,9
1622879524,6,0
1622880123,2,5
1622880724,3,1
1622881323,4,1
1622882524,7,2
1622883124,3,0
1622884323,7,3
1622884924,6,0
1622886124,10,6
1622887324,5,29
1622888524,11,27
1622889124,3,0
1622889724,6,0
1622890324,5,2
1622890924,6,0
1622891524,9,0
1622892124,8,2
1622893324,13,1
1622893923,12,8
1622894523,13,0
1622895124,15,0
1622895724,4,2
1622896325,2,17
1622896924,10,0
1622897524,8,1
1622898124,3,0
1622898724,10,0
1622899324,6,8
1622899924,9,0
1622901124,7,22
1622901724,2,1
1622902324,1,0
1622903524,2,12
1622904724,7,2
1622905323,3,0
1622906524,6,1
1622907124,46,0
1622907724,5,0
1622908324,7,1
1622908923,3,2
1622909524,2,0
1622910124,6,4
1622910724,1,2
1622911324,3,4
1622911924,4,0
1622912524,4,0
1622913124,4,0
1622913724,5,31
1622914924,6,3
1622915524,2,0
1622916124,4,0
1622916724,5,0
1622917324,2,0
1622917924,3,2
1622918524,7,3
1622919124,3,3
1622920324,3,0
1622920924,1,0
1622922123,4,2
1622923324,5,0
1622923924,4,28
1622924523,1,2
1622925125,4,3
1622925723,6,0
1622926924,11,10
1622928123,12,8
1622928724,3,0
1622929324,0,10
1622929923,16,11
1622930524,6,4
1622931124,4,0
1622931723,3,0
1622932324,13,2
1622932924,3,0
1622933524,10,23
1622934124,9,0
1622934724,5,1
1622935324,18,0
1622935924,12,2
1622936524,8,0
1622937124,2,10
1622937724,2,3
1622938323,6,3
1622938924,2,1
1622940123,2,1
1622940723,2,0
1622941324,3,4
1622941924,3,1
1622942524,7,3
1622943124,3,0
1622944324,5,43
1622944923,5,4
1622945524,3,0
1622946124,6,6
1622946724,5,0
1622947924,2,36
1622948524,5,0
1622949124,0,20
1622949724,3,2
1622950324,3,0
1622950923,8,3
1622951524,4,1
1622952124,3,14
1622952723,4,14
1622953324,7,7
1622953925,3,7
1622954524,1,3
1622955724,3,0
1622956323,4,1
1622956924,2,2
1622957524,2,2
1622958124,1,0
1622959323,5,3
1622959923,5,14
1622960523,4,0
1622961124,1,7
1622962323,4,3
1622962924,11,1
1622963524,6,2
1622964124,5,0
1622964724,5,1
1622965324,10,0
1622965923,7,1
1622966524,2,0
1622967124,4,1
1622967724,3,0
1622968324,4,3
1622968924,0,3
1622969523,8,0
1622970124,9,2
1622970723,2,0
1622971323,2,1
1622971924,3,1
1622973123,3,4
1622973723,6,0
1622974324,7,29
1622975524,5,2
1622976124,1,1
1622976724,2,0
1622977924,9,7
1622978523,8,5
1622979124,6,2
1622979724,3,0
1622980324,4,0
1622980924,6,5
1622981524,14,2
1622982123,2,2
1622982724,2,0
1622983323,5,0
1622983924,5,0
1622984524,5,4
1622985724,7,6
1622986324,8,3
1622986924,0,13
1622988124,4,1
1622988723,2,4
1622989324,2,11
1622990524,2,13
1622991124,0,2
1622991724,2,0
1622992323,2,2
1622992924,3,3
1622993524,4,0
1622994123,4,2
1622995323,2,3
1622995924,5,0
1622996523,5,1
1622997124,1,2
1622997724,2,1
1622998323,5,3
1622998924,1,0
1622999524,1,4
1623000124,5,24
1623000724,5,2
1623001324,8,3
1623001924,4,0
1623002524,4,0
1623003124,3,2
1623004325,6,2
1623004924,6,1
1623005524,2,0
1623006123,3,22
1623006724,4,0
1623007324,1,2
1623008524,6,2
1623009724,4,19
1623010324,2,10
1623010924,3,1
1623012124,12,0
1623013324,0,4
1623013924,9,0
1623014523,8,0
1623015124,9,1
1623015724,4,20
1623016324,6,0
1623016924,2,10
1623017524,1,0
1623018124,0,23
1623018724,3,0
1623019324,1,3
1623019923,4,0
1623020524,4,0
1623021123,15,0
1623021724,8,0
1623022324,1,0
1623022924,5,3
1623023524,3,24
1623024124,1,1
1623025924,2,1
1623026524,7,2
1623027124,3,0
1623027723,1,8
1623028324,5,0
1623028924,2,0
1623030124,4,16
1623030723,4,0
1623031324,5,6
1623031924,7,0
1623033125,5,10
1623033723,11,0
1623034323,8,15
1623034923,5,8
1623035524,8,0
1623036124,14,0
1623036723,3,2
1623037324,3,3
1623037924,3,6
1623038524,18,0
1623039724,11,3
1623040324,7,4
1623040924,7,2
1623041523,14,1
1623042124,7,0
1623043324,7,5
1623043924,1,3
1623044524,5,1
1623045124,4,4
1623045724,7,0
1623046324,4,5
1623046923,3,2
1623048124,5,1
1623049324,9,0
1623050524,11,6
1623051125,17,0
1623052323,8,7
1623052924,0,8
1623054124,5,0
1623054724,10,3
1623055324,1,2
1623056523,5,0
1623057124,12,10
1623057724,13,0
1623058324,5,0
1623058924,6,10
1623059524,7,1
1623060124,90,1
1623061324,21,5
1623061924,13,9
1623063123,15,7
1623063723,12,0
1623064323,15,0
1623064924,7,0
1623065524,5,0
1623066123,3,2
1623066724,3,0
1623067324,6,4
1623067924,11,0
1623068524,6,2
1623069124,12,2
1623069724,6,6
1623070324,4,1
1623070924,8,5
1623072124,13,7
1623073324,7,28
1623073924,5,0
1623074524,5,0
1623075724,6,16
1623076324,10,0
1623076924,10,0
1623077523,9,6
1623078123,9,0
1623078723,7,3
1623079324,3,3
1623079924,10,2
1623080524,6,2
1623081124,1,0
1623082324,11,1
1623082924,4,0
1623083524,4,1
1623084123,4,25
1623084724,3,16
1623085924,3,5
1623086523,3,8
1623087724,7,0
1623088924,2,5
1623090123,62,0
1623090724,4,0
1623091924,8,30
1623093124,6,0
1623093724,9,3
1623094924,8,2
1623095524,13,16
1623096723,10,2
1623097323,11,3
1623098524,13,0
1623099724,7,11
1623100324,4,11
1623101524,10,10
1623102124,7,0
1623102723,5,1
1623103324,0,2
1623104524,10,2
1623105124,7,0
1623105724,6,0
1623106324,5,4
1623106924,6,0
1623107524,7,3
1623108123,9,1
1623108725,12,0
1623109324,4,25
1623109923,6,0
1623110524,6,1
1623111124,7,0
1623112324,7,2
1623112924,6,19
1623113524,5,0
1623114124,2,3
1623114723,7,19
1623115323,4,0
1623115924,7,0
1623116523,3,0
1623117124,2,14
1623118324,6,2
1623118924,8,2
1623120124,9,0
1623120724,2,8
1623121924,6,3
1623122523,8,2
1623123123,4,0
1623123724,11,0
1623124323,5,2
1623124923,8,0
1623126124,8,1
1623127323,57,1
1623127923,4,1
1623128523,15,2
1623129123,0,3
1623129724,3,0
1623130324,5,2
1623131524,0,13
1623132123,1,3
1623133324,7,3
1623133924,11,0
1623134524,9,2
1623135124,5,0
1623135723,9,1
1623136323,12,1
1623136924,5,3
