DateTime,AddedIPs,RemovedIPs
1622551324,1,0
1622551924,1,3
1622552524,0,1
1622553124,1,0
1622553723,1,0
1622554924,3,2
1622556123,58,2
1622556724,1,0
1622557924,3,15
1622559124,1,0
1622559724,1,0
1622560924,1,0
1622562724,3,2
1622565125,1,2
1622566324,0,1
1622569324,0,1
1622571724,2,0
1622574124,1,1
1622575324,1,0
1622576524,0,3
1622577124,1,0
1622578924,0,2
1622580124,1,0
1622580724,2,3
1622581324,1,0
1622582523,2,0
1622583124,7,1
1622583724,4,0
1622584324,1,1
1622584924,2,1
1622586124,3,1
1622586725,3,1
1622588524,9,1
1622590325,9,3
1622590924,3,0
1622591524,0,2
1622592125,1,1
1622592724,3,0
1622593324,1,2
1622593924,3,0
1622594523,1,2
1622595124,1,0
1622595724,2,0
1622596923,6,0
1622598724,2,1
1622599324,2,0
1622599924,0,5
1622601124,0,2
1622601724,2,4
1622602924,0,4
1622608324,1,0
1622611324,1,1
1622611924,0,1
1622614324,2,0
1622616124,1,2
1622617924,2,2
1622620324,1,0
1622621524,1,0
1622622724,3,0
1622623924,1,1
1622624524,67,0
1622625124,1,0
1622626325,1,1
1622626924,1,0
1622628124,0,1
1622631123,0,1
1622632324,1,0
1622633524,1,0
1622634124,1,1
1622635924,0,1
1622637124,1,1
1622637724,1,0
1622638323,1,0
1622638923,0,1
1622640123,1,0
1622640724,0,2
1622642524,1,3
1622643124,0,1
1622644324,3,51
1622644924,0,1
1622646123,2,0
1622646723,1,1
1622649123,1,1
1622650324,0,5
1622653324,0,2
1622653924,0,2
1622655724,1,0
1622657524,0,3
1622658724,1,2
1622659924,1,2
1622661124,0,1
1622662324,1,1
1622662924,0,5
1622663524,1,0
1622665924,0,2
1622666524,1,2
1622667124,1,0
1622667723,0,1
1622669524,0,1
1622670124,0,1
1622670723,2,0
1622671323,1,0
1622671923,1,1
1622672523,3,1
1622674323,2,0
1622674923,0,2
1622675524,0,2
1622676724,0,1
1622679123,0,8
1622679724,0,1
1622682123,0,1
1622683323,1,5
1622683924,2,0
1622686324,4,3
1622687524,2,4
1622689923,0,3
1622691124,1,1
1622691723,2,0
1622692323,1,0
1622693524,1,0
1622695324,0,1
1622695924,1,1
1622697123,1,4
1622698324,1,0
1622699524,0,2
1622700124,3,0
1622700723,1,1
1622701924,0,2
1622702523,2,0
1622703123,0,38
1622704323,3,1
1622705524,0,1
1622706123,1,0
1622706724,0,1
1622708524,0,3
1622709125,1,1
1622710923,36,0
1622711523,2,0
1622713324,1,1
1622715124,0,1
1622716324,0,2
1622716924,1,2
1622717524,0,2
1622718123,1,0
1622718723,1,1
1622719924,1,0
1622720523,0,1
1622722324,2,1
1622723524,1,0
1622724123,0,6
1622725924,4,2
1622727124,2,0
1622728324,2,5
1622728924,1,4
1622729524,16,0
1622730723,2,3
1622731323,1,0
1622732524,4,2
1622733124,3,1
1622733724,0,1
1622734324,0,2
1622735524,2,1
1622736724,0,1
1622737924,0,4
1622740924,0,1
1622741525,1,0
1622742124,1,3
1622742724,1,0
1622744524,2,2
1622746324,2,2
1622748123,0,1
1622748724,2,0
1622749324,1,2
1622749924,1,2
1622751724,0,1
1622752324,0,3
1622754124,1,1
1622754724,3,0
1622755924,3,1
1622758323,1,0
1622759524,2,1
1622761324,1,0
1622762524,1,0
1622764323,3,2
1622767324,0,3
1622769123,0,2
1622769724,1,0
1622770324,4,0
1622773925,1,0
1622775724,4,3
1622778123,3,6
1622780523,0,3
1622782323,1,0
1622782923,0,2
1622784124,0,1
1622785323,0,1
1622788324,1,0
1622789524,0,3
1622790724,5,1
1622791323,2,0
1622791925,1,0
1622792524,1,2
1622793124,2,3
1622794324,3,5
1622794923,1,0
1622796124,1,2
1622796723,2,1
1622797923,1,0
1622799124,1,1
1622800924,0,1
1622802724,1,1
1622803923,1,2
1622805123,3,0
1622807524,1,2
1622810524,3,0
1622811723,1,2
1622812924,1,3
1622814123,4,0
1622814723,0,2
1622815924,3,0
1622816523,1,1
1622817124,1,1
1622818324,3,0
1622818923,1,0
1622819524,1,0
1622820723,2,3
1622821924,3,0
1622822523,1,5
1622823723,0,1
1622824323,0,1
1622826124,2,0
1622827925,3,0
1622828524,1,4
1622829123,0,1
1622830324,1,2
1622830923,2,0
1622833323,0,3
1622834523,0,1
1622836924,1,0
1622838725,0,1
1622839323,0,1
1622839924,1,0
1622842323,0,2
1622842924,0,5
1622844124,1,0
1622845323,0,3
1622845924,0,3
1622847124,63,0
1622847723,1,0
1622848924,1,2
1622850724,0,3
1622851324,1,2
1622852524,0,2
1622853124,0,8
1622854923,0,29
1622856124,0,7
1622857324,1,0
1622857923,0,2
1622859723,0,3
1622860325,0,4
1622860924,21,0
1622863323,1,1
1622863924,0,1
1622864524,0,5
1622866324,2,11
1622868124,6,6
1622868723,0,5
1622869924,1,11
1622871124,1,2
1622871723,1,3
1622872924,0,1
1622874724,1,7
1622875324,0,1
1622877124,51,0
1622877724,1,0
1622878324,0,5
1622878925,0,3
1622879524,1,0
1622880724,2,4
1622881323,0,4
1622881925,0,6
1622882524,1,0
1622883724,1,19
1622884924,0,1
1622886124,2,2
1622887324,0,2
1622888524,0,3
1622889124,3,4
1622890324,1,0
1622890924,0,9
1622892724,1,3
1622893923,0,1
1622894523,3,0
1622895724,1,0
1622896325,0,1
1622897524,1,0
1622898123,1,0
1622898724,1,0
1622899324,0,1
1622900523,0,2
1622901124,1,3
1622901724,1,0
1622903524,0,1
1622904724,2,0
1622905323,2,2
1622905924,0,2
1622906524,0,1
1622907124,0,3
1622908324,1,2
1622910124,1,0
1622910724,0,1
1622911324,2,1
1622913724,1,1
1622914924,2,0
1622915524,0,1
1622916124,1,1
1622916724,1,0
1622917324,4,1
1622918524,1,7
1622919124,1,0
1622919724,2,0
1622920324,2,0
1622921524,1,2
1622923324,3,1
1622924523,2,3
1622925124,0,1
1622926924,1,1
1622927524,1,0
1622929324,4,0
1622929923,1,1
1622932324,1,2
1622932924,28,0
1622933524,0,2
1622934124,1,1
1622935323,1,0
1622937124,2,0
