DateTime,AddedIPs,RemovedIPs
1615485506,2,0
1615493692,1,0
1615501819,2,0
1615510102,1,0
1615518181,3,0
1615526620,1,0
1615530712,1,0
1615542973,1,0
1615551115,1,0
1615559102,1,0
1615563159,1,0
1615579427,2,0
1615587613,1,0
1615591673,1,0
1615595971,4,0
1615602150,1,0
1615606225,1,0
1615614191,1,0
1615626654,1,0
1615638997,1,0
1615649653,3,0
1615712993,1,12
1615715900,6,122
1615720209,4,0
1615734805,1,0
1615743007,1,0
1615751168,1,0
1615759398,4,0
1615763491,1,0
1615767459,1,0
1615771560,1,0
1615782171,2,0
1615786270,1,0
1615792830,5,0
1615809376,1,0
1615817613,1,0
1615826125,2,0
1615842279,2,0
1615850251,3,0
1615858208,2,0
1615866206,2,0
1615874197,1,0
1615892576,2,0
1615912872,1,0
1615924833,1,0
1615936576,1,0
1615942934,1,0
1615950774,1,0
1615966587,1,0
1615974461,2,0
1615982424,2,0
1616000471,1,0
1616004343,4,0
1616019835,1,0
1616027609,1,0
1616035484,2,0
1616059265,4,0
1616078877,1,0
1616082804,1,0
1616106488,2,0
1616114397,1,0
1616143185,1,0
1616147156,1,0
1616159003,1,0
1616172978,1,0
1616190437,3,0
1616193944,1,0
1616209402,3,0
1616234760,2,0
1616244572,2,0
1616251683,2,0
1616258799,1,0
1616265961,1,0
1616273111,1,0
1616280247,2,0
1616287399,1,0
1616294538,2,0
1616323289,1,0
1616340323,2,0
1616354667,2,0
1616364241,2,0
1616384085,1,0
1616391359,1,0
1616398841,1,0
1616409728,1,0
1616413339,1,0
1616422960,2,0
1616430128,1,0
1616447969,1,0
1616455041,1,0
1616462175,5,0
1616469384,1,0
1616493562,1,0
1616497162,1,0
1616510529,3,0
1616538937,1,0
1616542491,1,0
1616546050,1,0
1616552979,2,0
1616556450,2,0
1616560005,3,0
1616563529,1,0
1616567088,1,0
1616574155,1,0
1616577708,1,0
1616581245,1,0
1616588276,2,0
1616614543,4,0
1616618021,1,0
1616621799,2,0
1616625519,1,0
1616643542,2,0
1616650555,1,0
1616657594,3,0
1616664972,3,0
1616675723,1,0
1616691226,2,0
1616698262,3,0
1616705213,1,0
1616711750,1,0
1616720817,1,0
1616735160,2,0
