DateTime,AddedIPs,RemovedIPs
1599761329,267,9
1599849128,218,1
1599936968,202,0
1600025288,166,0
1600113124,220,12
1600186567,258,5
1600274671,270,5
1600362725,208,2
1600450593,188,1
1600538676,352,1
1600626970,350,0
1600715318,204,4
1600803365,259,0
1600891446,313,1
1600964884,315,5
1601052724,184,1
1601140828,543,0
1601228651,415,0
1601316507,318,10
1601404833,592,1
1601492913,215,0
1601580730,436,0
1601668590,293,0
1601741765,216,0
1601829610,213,0
1601917451,222,1
1602005284,236,0
1602093151,240,1
1602180992,200,4
1602268812,201,1
1602356650,231,0
1602444489,214,0
1602532327,222,3
1602605530,222,0
1602693367,208,0
1602781957,161,0
1602869765,167,2
1602957623,209,0
1603045450,140,0
1603133537,211,0
1603221367,353,0
1603309208,395,0
1603397046,301,1
1603470251,263,0
1603558084,165,0
1603645926,227,1
1603733792,220,2
1603821643,297,10
1603909448,254,2
1603997285,284,1
1604085156,428,4
1604172967,365,3
1604260832,313,9
1604334008,262,3
1604421849,210,2
1604509713,232,5
1604597531,253,10
1604685366,276,5
1604773203,330,0
1604861074,162,0
1604941714,237,4
1605029531,273,6
1605117366,247,3
1605205207,261,0
1605293049,390,5
1605380884,359,2
1605468730,170,0
1605556737,147,2
1605630028,207,4
1605717849,271,1
1605805691,166,3
1605893793,142,12
1605981639,138,1
1606069447,138,1
1606157286,189,1
1606245127,193,2
1606332969,228,0
1606420848,147,0
1606494033,88,1
1606581852,113,2
1606669928,122,0
1606757792,108,2
1606845847,96,0
1606933710,145,3
1607021526,174,0
1607109372,228,1
1607197710,241,0
1607285789,192,0
1607366646,86,0
1607454510,185,2
1607535365,216,0
1607623280,146,11
1607711046,154,0
1607798888,107,1
1607886728,76,0
1607982011,102,2
1608055469,183,2
1608143240,173,4
1608231150,670,5
1608318968,181,0
1608407047,173,0
1608494911,200,0
1608582752,219,1
1608670567,288,1
1608743795,295,1
1608831606,231,0
1608919447,334,2
1609007285,245,2
1609095156,157,1
